Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
1,95916,82325,49993,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
2,90975,80308,48891,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
3,89553,80425,49023,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
4,88869,80232,48908,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
5,91756,84644,51968,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
6,102224,95306,58703,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
7,108554,98338,60200,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
8,119630,106581,64673,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
9,131065,110717,66375,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
10,140910,115494,69128,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
11,146540,114261,67657,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
12,153193,117602,69384,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
13,155457,116404,68561,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
14,153117,111926,65742,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
15,153295,112390,66080,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
16,159809,118335,70065,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
17,165209,123148,73722,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
18,170003,124039,73249,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
19,168046,121528,71695,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
20,155991,111700,65913,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
21,142076,104123,61601,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
22,128243,95154,56064,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
23,115379,88179,51672,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
24,106015,89160,48394,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
25,99923,84668,45688,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
26,95763,82654,44727,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
27,95061,83264,45511,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
28,94983,83149,45558,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
29,97710,85824,46883,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
30,106968,94727,52442,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
31,117885,103216,56446,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
32,130899,114338,63317,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
33,143112,120284,67394,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
34,152085,124459,70376,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
35,157435,123168,70308,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
36,163350,127042,72544,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
37,165569,125776,72006,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
38,162959,121282,69368,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
39,162890,122286,70102,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
40,169563,128796,74688,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
41,176232,135150,79202,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
42,181947,135735,79415,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
43,179556,132593,77493,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
44,167962,123544,71652,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
45,155126,117149,67660,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
46,142585,110002,62948,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
47,130668,103560,58703,20562,10478,3033,15210,11421,5691,5332,3486,2069,17363,9494,9851,4599,2584,923,0
