Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,jetfuel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,diesel_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE
1,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
2,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
3,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
4,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
5,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
6,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
7,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
8,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
9,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
10,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
11,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
12,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
13,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
14,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
15,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
16,12.55668122,12.21546705,15.01342319,2.490863394,94.96,999999,94.96,75.68,75.68,999999,999999,97.35,97.35
