Period_Index,Rep_Period,Rep_Period_Index
1,363,3
2,363,3
3,363,3
4,363,3
5,363,3
6,363,3
7,363,3
8,363,3
9,363,3
10,230,2
11,363,3
12,230,2
13,230,2
14,230,2
15,230,2
16,230,2
17,230,2
18,230,2
19,230,2
20,230,2
21,230,2
22,230,2
23,230,2
24,83,1
25,83,1
26,83,1
27,83,1
28,83,1
29,83,1
30,83,1
31,83,1
32,83,1
33,83,1
34,83,1
35,83,1
36,83,1
37,83,1
38,83,1
39,83,1
40,83,1
41,83,1
42,363,3
43,363,3
44,363,3
45,363,3
46,363,3
47,363,3
48,363,3
49,363,3
50,363,3
51,363,3
52,363,3
53,363,3
54,363,3
55,363,3
56,363,3
57,363,3
58,363,3
59,363,3
60,363,3
61,363,3
62,363,3
63,363,3
64,363,3
65,230,2
66,230,2
67,230,2
68,230,2
69,230,2
70,230,2
71,230,2
72,230,2
73,230,2
74,230,2
75,230,2
76,83,1
77,83,1
78,83,1
79,83,1
80,83,1
81,83,1
82,83,1
83,83,1
84,83,1
85,83,1
86,83,1
87,83,1
88,83,1
89,83,1
90,83,1
91,83,1
92,83,1
93,83,1
94,83,1
95,363,3
96,363,3
97,363,3
98,363,3
99,363,3
100,363,3
101,363,3
102,363,3
103,363,3
104,363,3
105,363,3
106,363,3
107,363,3
108,363,3
109,363,3
110,363,3
111,363,3
112,363,3
113,363,3
114,363,3
115,363,3
116,230,2
117,363,3
118,230,2
119,230,2
120,230,2
121,230,2
122,230,2
123,230,2
124,230,2
125,230,2
126,230,2
127,83,1
128,83,1
129,83,1
130,83,1
131,83,1
132,83,1
133,83,1
134,83,1
135,83,1
136,83,1
137,83,1
138,83,1
139,83,1
140,83,1
141,83,1
142,83,1
143,83,1
144,83,1
145,363,3
146,363,3
147,363,3
148,363,3
149,363,3
150,363,3
151,363,3
152,363,3
153,363,3
154,363,3
155,363,3
156,363,3
157,363,3
158,363,3
159,363,3
160,363,3
161,363,3
162,363,3
163,363,3
164,363,3
165,363,3
166,363,3
167,363,3
168,230,2
169,363,3
170,230,2
171,230,2
172,230,2
173,230,2
174,230,2
175,230,2
176,230,2
177,230,2
178,230,2
179,230,2
180,83,1
181,83,1
182,83,1
183,83,1
184,83,1
185,83,1
186,83,1
187,83,1
188,83,1
189,83,1
190,83,1
191,83,1
192,83,1
193,83,1
194,83,1
195,83,1
196,363,3
197,83,1
198,83,1
199,363,3
200,363,3
201,363,3
202,363,3
203,363,3
204,363,3
205,363,3
206,363,3
207,363,3
208,363,3
209,363,3
210,363,3
211,363,3
212,363,3
213,363,3
214,363,3
215,363,3
216,363,3
217,363,3
218,363,3
219,363,3
220,230,2
221,363,3
222,230,2
223,230,2
224,230,2
225,230,2
226,230,2
227,230,2
228,230,2
229,230,2
230,230,2
231,230,2
232,83,1
233,83,1
234,83,1
235,83,1
236,83,1
237,83,1
238,83,1
239,83,1
240,83,1
241,83,1
242,83,1
243,83,1
244,83,1
245,83,1
246,83,1
247,83,1
248,83,1
249,83,1
250,363,3
251,363,3
252,363,3
253,363,3
254,363,3
255,363,3
256,363,3
257,363,3
258,363,3
259,363,3
260,363,3
261,363,3
262,363,3
263,363,3
264,363,3
265,363,3
266,363,3
267,363,3
268,363,3
269,363,3
270,363,3
271,363,3
272,230,2
273,230,2
274,230,2
275,230,2
276,230,2
277,230,2
278,230,2
279,230,2
280,230,2
281,230,2
282,230,2
283,230,2
284,83,1
285,230,2
286,83,1
287,83,1
288,83,1
289,83,1
290,83,1
291,83,1
292,83,1
293,83,1
294,83,1
295,83,1
296,83,1
297,83,1
298,83,1
299,83,1
300,83,1
301,83,1
302,363,3
303,363,3
304,363,3
305,363,3
306,363,3
307,363,3
308,363,3
309,363,3
310,363,3
311,363,3
312,363,3
313,363,3
314,363,3
315,363,3
316,363,3
317,363,3
318,363,3
319,363,3
320,363,3
321,363,3
322,363,3
323,363,3
324,363,3
325,363,3
326,230,2
327,230,2
328,230,2
329,230,2
330,230,2
331,230,2
332,230,2
333,230,2
334,230,2
335,230,2
336,83,1
337,230,2
338,83,1
339,83,1
340,83,1
341,83,1
342,83,1
343,83,1
344,83,1
345,83,1
346,83,1
347,83,1
348,83,1
349,83,1
350,83,1
351,83,1
352,83,1
353,83,1
354,363,3
355,83,1
356,363,3
357,363,3
358,363,3
359,363,3
360,363,3
361,363,3
362,363,3
363,363,3
364,363,3
365,363,3
