Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
1,108217,83549,30118,31937.18,30440.74,15988.28,0
2,105797,79189,28598,31937.18,30440.74,15988.28,0
3,103262,77202,27261,31937.18,30440.74,15988.28,0
4,101779,76236,26528,31937.18,30440.74,15988.28,0
5,101506,76251,26317,31937.18,30440.74,15988.28,0
6,102712,77315,26656,31937.18,30440.74,15988.28,0
7,105603,79426,27516,31937.18,30440.74,15988.28,0
8,108719,81362,28190,31937.18,30440.74,15988.28,0
9,113294,83036,29343,31937.18,30440.74,15988.28,0
10,116022,83624,30692,31937.18,30440.74,15988.28,0
11,115901,83917,31724,31937.18,30440.74,15988.28,0
12,115374,84247,32324,31937.18,30440.74,15988.28,0
13,115827,84850,32785,31937.18,30440.74,15988.28,0
14,115552,85135,32905,31937.18,30440.74,15988.28,0
15,114368,85054,32806,31937.18,30440.74,15988.28,0
16,112969,85672,33100,31937.18,30440.74,15988.28,0
17,113156,89270,35660,31937.18,30440.74,15988.28,0
18,118123,95912,38531,31937.18,30440.74,15988.28,0
19,126673,98036,38412,31937.18,30440.74,15988.28,0
20,126460,97518,37629,31937.18,30440.74,15988.28,0
21,124246,96519,36541,31937.18,30440.74,15988.28,0
22,120588,93789,34883,31937.18,30440.74,15988.28,0
23,115874,90074,32744,31937.18,30440.74,15988.28,0
24,109796,85527,30224,31937.18,30440.74,15988.28,0
25,104335,81471,28006,31937.18,30440.74,15988.28,0
26,101318,79006,26575,31937.18,30440.74,15988.28,0
27,100559,78021,25798,31937.18,30440.74,15988.28,0
28,101614,78489,25596,31937.18,30440.74,15988.28,0
29,104368,80420,25980,31937.18,30440.74,15988.28,0
30,110155,84039,27141,31937.18,30440.74,15988.28,0
31,119334,89162,29030,31937.18,30440.74,15988.28,0
32,126404,93066,30576,31937.18,30440.74,15988.28,0
33,131988,95613,32292,31937.18,30440.74,15988.28,0
34,136642,98607,34227,31937.18,30440.74,15988.28,0
35,139301,101326,35758,31937.18,30440.74,15988.28,0
36,139542,102553,36454,31937.18,30440.74,15988.28,0
37,138143,102896,36674,31937.18,30440.74,15988.28,0
38,135838,102802,36648,31937.18,30440.74,15988.28,0
39,133702,102611,36597,31937.18,30440.74,15988.28,0
40,132968,103287,37110,31937.18,30440.74,15988.28,0
41,135937,107275,39887,31937.18,30440.74,15988.28,0
42,147351,115980,43504,31937.18,30440.74,15988.28,0
43,160162,118430,43371,31937.18,30440.74,15988.28,0
44,162815,118202,42719,31937.18,30440.74,15988.28,0
45,161906,116291,41204,31937.18,30440.74,15988.28,0
46,158311,112698,38823,31937.18,30440.74,15988.28,0
47,151962,106965,35656,31937.18,30440.74,15988.28,0
48,145158,100943,32716,31937.18,30440.74,15988.28,0
49,140585,96753,30670,31937.18,30440.74,15988.28,0
50,138955,94484,29427,31937.18,30440.74,15988.28,0
51,139027,93864,28887,31937.18,30440.74,15988.28,0
52,141503,94443,28830,31937.18,30440.74,15988.28,0
53,146348,96894,29636,31937.18,30440.74,15988.28,0
54,156901,103135,32124,31937.18,30440.74,15988.28,0
55,173144,113635,36844,31937.18,30440.74,15988.28,0
56,183960,120150,39902,31937.18,30440.74,15988.28,0
57,184175,120423,40720,31937.18,30440.74,15988.28,0
58,181436,119899,41299,31937.18,30440.74,15988.28,0
59,177896,120044,41745,31937.18,30440.74,15988.28,0
60,173188,119886,41929,31937.18,30440.74,15988.28,0
61,167667,119431,41909,31937.18,30440.74,15988.28,0
62,162718,119286,41979,31937.18,30440.74,15988.28,0
