Type,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--type,edges--edge--unidirectional,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size
VRE,NE_offshorewind_class10_moderate_floating_1_1,true,true,false,Electricity,true,true,true,Electricity,32928.493,56095.98976,225783.4407,system/availability.csv,NE_offshorewind_class10_moderate_floating_1_1,elec_NE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_1,true,true,false,Electricity,true,true,true,Electricity,1.041244e6,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_1,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_2,true,true,false,Electricity,true,true,true,Electricity,890062.0,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_2,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_3,true,true,false,Electricity,true,true,true,Electricity,1.238552e6,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_3,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_4,true,true,false,Electricity,true,true,true,Electricity,1.039859e6,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_4,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_5,true,true,false,Electricity,true,true,true,Electricity,955445.0,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_5,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_6,true,true,false,Electricity,true,true,true,Electricity,1.729874e6,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_6,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_7,true,true,false,Electricity,true,true,true,Electricity,618334.0,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_7,elec_SE,,
VRE,SE_utilitypv_class1_moderate_70_0_2_8,true,true,false,Electricity,true,true,true,Electricity,989513.0,15390.48615,49950.17548,system/availability.csv,SE_utilitypv_class1_moderate_70_0_2_8,elec_SE,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_1,true,true,false,Electricity,true,true,true,Electricity,26783.0,15390.48615,51590.03227,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_1,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_2,true,true,false,Electricity,true,true,true,Electricity,288617.0,15390.48615,51590.03227,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_2,elec_MIDAT,,
VRE,MIDAT_utilitypv_class1_moderate_70_0_2_3,true,true,false,Electricity,true,true,true,Electricity,115699.0,15390.48615,51590.03227,system/availability.csv,MIDAT_utilitypv_class1_moderate_70_0_2_3,elec_MIDAT,,
