Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,SE_CCGT-H2,MIDAT_CCGT-H2,NE_CCGT-H2,SE_OCGT-H2,MIDAT_OCGT-H2,NE_OCGT-H2,SE_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Solvent_DAC,MIDAT_Solvent_DAC,NE_Solvent_DAC,SE_Sorbent_DAC,MIDAT_Sorbent_DAC,NE_Sorbent_DAC,SE_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood,NE_BECCS_Electricity_Wood,SE_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb,NE_BECCS_H2_Herb,SE_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood,NE_BECCS_H2_Wood
1,0.112324573,0.17893651,0.112324573,0.0,0.404281909,0.119612527,0.404281909,0.0,0.173973982,0.173973982,0.0,0.02013679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107152867,0.226018805,0.281679246,0.164272115,0.193532707,0.264164624,0.318338889,0.161516216,0.17893651,0.07428234,0.094093628,0.158833432,0.169428829,0.106230648,0.048339438,0.119612527,0.300341327,0.215365563,0.299820803,0.498505429,0.331666942,0.352414382,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.112358468,0.184094821,0.112358468,0.0,0.404163277,0.113571644,0.404163277,0.0,0.174123339,0.174123339,0.0,0.085477941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107913275,0.215482103,0.284951291,0.208547129,0.203158923,0.235226822,0.351234438,0.136774375,0.184094821,0.097250764,0.074432796,0.161916307,0.213812712,0.136146121,0.045453168,0.113571644,0.280574005,0.17817094,0.287117114,0.526330935,0.287864139,0.452429357,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.112391654,0.231852133,0.112391654,0.0,0.404096847,0.126846864,0.404096847,0.0,0.174335776,0.174335776,0.0,0.148769394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097630581,0.215583235,0.285532403,0.199978768,0.226559619,0.231792533,0.354269533,0.100786365,0.231852133,0.125961764,0.081058599,0.169055226,0.250480222,0.186914923,0.035078122,0.126846864,0.268922178,0.169230837,0.281902383,0.545145066,0.228263832,0.483576826,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.112421323,0.175684814,0.112421323,0.0,0.404040454,0.147012975,0.404040454,0.00646174,0.17448643,0.17448643,0.0,0.221390903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00369477,0.00646174,0.014735925,0.005710889,0.000370274,0.005507046,0.003917328,0.083765995,0.223481538,0.27067709,0.207681826,0.248301105,0.222529449,0.338557393,0.079950336,0.175684814,0.124186467,0.072977908,0.179094968,0.284187622,0.233896289,0.053875882,0.147012975,0.270830052,0.180029589,0.301356212,0.558307378,0.11775466,0.456619448,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.112436988,0.136615482,0.112436988,0.045531425,0.403931095,0.139599302,0.403931095,0.160671033,0.174697569,0.174697569,0.0,0.236419663,0.0,0.002255233,0.002748418,0.001295598,0.0,0.017992833,0.013664805,0.001732928,0.045531425,0.024606061,0.108026114,0.004396922,0.050937436,0.030177835,0.02059342,0.133816156,0.160671033,0.161065706,0.139526278,0.086102539,0.151008014,0.139759232,0.059973673,0.209950599,0.249410542,0.223700304,0.252103591,0.227061628,0.282849414,0.070612836,0.136615482,0.145273237,0.070023659,0.191385376,0.302839367,0.266323053,0.068040115,0.139599302,0.260379563,0.185049524,0.291200704,0.553426549,0.095892158,0.438696335,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.112459706,0.080836062,0.112459706,0.256656001,0.403855392,0.080775298,0.403855392,0.493796644,0.174847918,0.174847918,0.093394219,0.228134498,0.093394219,0.177882964,0.166545974,0.055698331,0.038506089,0.240039305,0.267372122,0.083896012,0.256656001,0.178318923,0.326168198,0.09115874,0.315738439,0.308234808,0.234944976,0.328146051,0.493796644,0.255308293,0.456972902,0.378019914,0.42017203,0.490944476,0.04318299,0.204714008,0.21346984,0.231661892,0.242604361,0.222154948,0.227457746,0.060548832,0.080836062,0.146247737,0.067992523,0.213762627,0.32148135,0.230891979,0.080583001,0.080775298,0.174224321,0.12880195,0.224513463,0.49324842,0.095549573,0.358544418,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.112510061,0.022366392,0.112510061,0.307632039,0.403809293,0.036069644,0.403809293,0.75467943,0.174997275,0.174997275,0.449344517,0.236637503,0.449344517,0.572582458,0.559261624,0.1930845,0.314599138,0.570982245,0.656742401,0.321049632,0.307632039,0.354850131,0.502104227,0.279783439,0.598576556,0.628127082,0.518218562,0.586136663,0.75467943,0.342541848,0.731602467,0.622314257,0.561512486,0.743004615,0.02221651,0.101025635,0.057363484,0.162566572,0.163433544,0.081310045,0.044242974,0.04609413,0.022366392,0.071802195,0.0299941,0.177266407,0.188743911,0.076934377,0.072609018,0.036069644,0.112304228,0.069755188,0.119380214,0.282246615,0.028121932,0.275638563,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.112526788,0.024315423,0.112526788,0.462281392,0.40368964,0.017929974,0.40368964,0.848252977,0.175209712,0.175209712,0.684380992,0.138751715,0.684380992,0.730595665,0.750839397,0.337654895,0.591309508,0.749875059,0.799684701,0.567662127,0.462281392,0.509982994,0.468778457,0.415312429,0.748880178,0.730741644,0.644569145,0.752070914,0.848252977,0.479211709,0.82663471,0.701020606,0.726119086,0.781471808,0.001674884,0.058116713,0.013180213,0.076069412,0.023820304,0.034882222,0.013555625,0.01432551,0.024315423,0.021695296,0.006162617,0.07195194,0.109112888,0.029185406,0.017157659,0.017929974,0.084142379,0.053973401,0.125271526,0.2380915,0.005462789,0.280638498,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.112533739,0.034180672,0.112533739,0.627171444,0.403622563,0.018636112,0.403622563,0.864338877,0.175360366,0.175360366,0.773605833,0.215190068,0.773605833,0.730958237,0.804064554,0.452082599,0.723702949,0.849068302,0.838481666,0.712626733,0.627171444,0.67216368,0.580943471,0.509360454,0.825787995,0.758532507,0.677417614,0.839426886,0.864338877,0.580748156,0.852942214,0.723591254,0.855627562,0.781965087,0.00076313,0.069000662,0.012147906,0.085406613,0.015600589,0.028351555,0.009971325,0.019537704,0.034180672,0.017064897,0.001907165,0.075589022,0.139960273,0.016745778,0.010511797,0.018636112,0.098916506,0.060535264,0.14363104,0.264378275,0.00282902,0.268275061,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
10,0.112573832,0.039460426,0.112573832,0.709328451,0.403561453,0.041996692,0.403561453,0.85680591,0.175538693,0.175538693,0.789984521,0.140461251,0.789984521,0.705705977,0.782395146,0.495383561,0.780254103,0.869758043,0.846155965,0.764717606,0.709328451,0.77231992,0.675718531,0.525950078,0.844605246,0.759397293,0.653049503,0.856425683,0.85680591,0.65082526,0.850926266,0.719484917,0.869987444,0.70883925,0.00165445,0.09146275,0.01080352,0.080889726,0.010990239,0.01648372,0.011735688,0.021748517,0.039460426,0.018390828,0.007626847,0.062103373,0.172227763,0.011748633,0.011789666,0.041996692,0.140074912,0.085582801,0.186885843,0.302738846,0.012774846,0.297084579,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
