Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1.0,1.0,2000,10,24,720.0,1,7707.0,2201.0,1050.0
,2,0.9,0.04,1800,,,24.0,2,7341.0,2097.0,1000.0
,3,0.55,0.024,1100,,,1608.0,3,7162.0,2045.0,976.0
,4,0.2,0.003,400,,,1080.0,4,7116.0,2032.0,970.0
,,,,,,,1464.0,5,7319.0,2090.0,998.0
,,,,,,,24.0,6,7994.0,2283.0,1090.0
,,,,,,,1608.0,7,9337.0,2666.0,1273.0
,,,,,,,2184.0,8,10078.0,2878.0,1374.0
,,,,,,,24.0,9,10153.0,2900.0,1384.0
,,,,,,,24.0,10,10111.0,2888.0,1378.0
,,,,,,,,11,10123.0,2891.0,1380.0
,,,,,,,,12,10081.0,2879.0,1374.0
,,,,,,,,13,9965.0,2846.0,1358.0
,,,,,,,,14,9889.0,2825.0,1348.0
,,,,,,,,15,9783.0,2794.0,1333.0
,,,,,,,,16,9791.0,2796.0,1335.0
,,,,,,,,17,10281.0,2936.0,1402.0
,,,,,,,,18,11182.0,3194.0,1525.0
,,,,,,,,19,11192.0,3196.0,1526.0
,,,,,,,,20,10926.0,3120.0,1489.0
,,,,,,,,21,10493.0,2997.0,1430.0
,,,,,,,,22,9776.0,2792.0,1332.0
,,,,,,,,23,8880.0,2536.0,1211.0
,,,,,,,,24,8042.0,2297.0,1096.0
,,,,,,,,25,7822.0,2234.0,1066.0
,,,,,,,,26,7494.0,2140.0,1021.0
,,,,,,,,27,7343.0,2097.0,1001.0
,,,,,,,,28,7289.0,2082.0,994.0
,,,,,,,,29,7482.0,2137.0,1020.0
,,,,,,,,30,8142.0,2325.0,1110.0
,,,,,,,,31,9388.0,2681.0,1280.0
,,,,,,,,32,10233.0,2922.0,1395.0
,,,,,,,,33,10494.0,2997.0,1431.0
,,,,,,,,34,10665.0,3046.0,1454.0
,,,,,,,,35,10780.0,3079.0,1469.0
,,,,,,,,36,10817.0,3089.0,1474.0
,,,,,,,,37,10743.0,3068.0,1464.0
,,,,,,,,38,10657.0,3044.0,1453.0
,,,,,,,,39,10516.0,3003.0,1434.0
,,,,,,,,40,10468.0,2990.0,1427.0
,,,,,,,,41,10788.0,3081.0,1471.0
,,,,,,,,42,11254.0,3214.0,1535.0
,,,,,,,,43,11088.0,3167.0,1512.0
,,,,,,,,44,10715.0,3060.0,1461.0
,,,,,,,,45,10312.0,2945.0,1406.0
,,,,,,,,46,9767.0,2790.0,1332.0
,,,,,,,,47,9041.0,2582.0,1232.0
,,,,,,,,48,8305.0,2372.0,1132.0
,,,,,,,,49,7611.0,2174.0,1038.0
,,,,,,,,50,7284.0,2080.0,993.0
,,,,,,,,51,7110.0,2031.0,969.0
,,,,,,,,52,7082.0,2023.0,965.0
,,,,,,,,53,7266.0,2075.0,990.0
,,,,,,,,54,7941.0,2268.0,1083.0
,,,,,,,,55,9190.0,2625.0,1253.0
,,,,,,,,56,9935.0,2837.0,1354.0
,,,,,,,,57,10145.0,2897.0,1383.0
,,,,,,,,58,10199.0,2913.0,1390.0
,,,,,,,,59,10213.0,2917.0,1393.0
,,,,,,,,60,10135.0,2895.0,1382.0
,,,,,,,,61,9964.0,2845.0,1358.0
,,,,,,,,62,9842.0,2811.0,1342.0
,,,,,,,,63,9677.0,2764.0,1319.0
,,,,,,,,64,9588.0,2739.0,1308.0
,,,,,,,,65,9757.0,2786.0,1330.0
,,,,,,,,66,10423.0,2976.0,1421.0
,,,,,,,,67,10732.0,3065.0,1463.0
,,,,,,,,68,10465.0,2989.0,1427.0
,,,,,,,,69,10112.0,2888.0,1378.0
,,,,,,,,70,9608.0,2744.0,1310.0
,,,,,,,,71,8902.0,2543.0,1214.0
,,,,,,,,72,8169.0,2333.0,1114.0
,,,,,,,,73,6946.0,1983.0,947.0
,,,,,,,,74,6646.0,1898.0,906.0
,,,,,,,,75,6500.0,1856.0,886.0
,,,,,,,,76,6489.0,1853.0,884.0
,,,,,,,,77,6670.0,1905.0,909.0
,,,,,,,,78,7351.0,2099.0,1002.0
,,,,,,,,79,8696.0,2484.0,1186.0
,,,,,,,,80,9549.0,2727.0,1302.0
,,,,,,,,81,9746.0,2783.0,1328.0
,,,,,,,,82,9834.0,2809.0,1341.0
,,,,,,,,83,9913.0,2831.0,1352.0
,,,,,,,,84,9869.0,2819.0,1346.0
,,,,,,,,85,9747.0,2784.0,1328.0
,,,,,,,,86,9662.0,2760.0,1318.0
,,,,,,,,87,9484.0,2709.0,1293.0
,,,,,,,,88,9390.0,2682.0,1280.0
,,,,,,,,89,9456.0,2700.0,1289.0
,,,,,,,,90,9694.0,2769.0,1322.0
,,,,,,,,91,10014.0,2860.0,1365.0
,,,,,,,,92,10428.0,2978.0,1422.0
,,,,,,,,93,10162.0,2902.0,1385.0
,,,,,,,,94,9552.0,2728.0,1302.0
,,,,,,,,95,8643.0,2468.0,1178.0
,,,,,,,,96,7788.0,2224.0,1062.0
,,,,,,,,97,9050.0,2584.0,1234.0
,,,,,,,,98,8509.0,2430.0,1160.0
,,,,,,,,99,8159.0,2330.0,1112.0
,,,,,,,,100,7989.0,2282.0,1089.0
,,,,,,,,101,8068.0,2304.0,1100.0
,,,,,,,,102,8373.0,2391.0,1141.0
,,,,,,,,103,9321.0,2662.0,1271.0
,,,,,,,,104,10505.0,3000.0,1432.0
,,,,,,,,105,11418.0,3261.0,1557.0
,,,,,,,,106,12157.0,3472.0,1657.0
,,,,,,,,107,12737.0,3637.0,1737.0
,,,,,,,,108,13103.0,3742.0,1787.0
,,,,,,,,109,13301.0,3799.0,1813.0
,,,,,,,,110,13483.0,3851.0,1838.0
,,,,,,,,111,13586.0,3880.0,1853.0
,,,,,,,,112,13541.0,3867.0,1846.0
,,,,,,,,113,13497.0,3855.0,1840.0
,,,,,,,,114,13407.0,3829.0,1828.0
,,,,,,,,115,13101.0,3742.0,1787.0
,,,,,,,,116,12636.0,3609.0,1723.0
,,,,,,,,117,12320.0,3519.0,1680.0
,,,,,,,,118,11919.0,3404.0,1625.0
,,,,,,,,119,10802.0,3085.0,1473.0
,,,,,,,,120,9621.0,2748.0,1312.0
,,,,,,,,121,10503.0,3000.0,1432.0
,,,,,,,,122,9889.0,2825.0,1348.0
,,,,,,,,123,9493.0,2711.0,1294.0
,,,,,,,,124,9245.0,2640.0,1261.0
,,,,,,,,125,9268.0,2647.0,1263.0
,,,,,,,,126,9643.0,2754.0,1315.0
,,,,,,,,127,10684.0,3051.0,1457.0
,,,,,,,,128,12036.0,3437.0,1641.0
,,,,,,,,129,13120.0,3747.0,1789.0
,,,,,,,,130,14080.0,4021.0,1919.0
,,,,,,,,131,14910.0,4258.0,2033.0
,,,,,,,,132,15478.0,4421.0,2110.0
,,,,,,,,133,15870.0,4533.0,2164.0
,,,,,,,,134,16225.0,4633.0,2212.0
,,,,,,,,135,16448.0,4698.0,2242.0
,,,,,,,,136,16617.0,4746.0,2266.0
,,,,,,,,137,16717.0,4774.0,2279.0
,,,,,,,,138,16579.0,4735.0,2261.0
,,,,,,,,139,16199.0,4626.0,2209.0
,,,,,,,,140,15701.0,4484.0,2140.0
,,,,,,,,141,15416.0,4403.0,2102.0
,,,,,,,,142,14854.0,4243.0,2025.0
,,,,,,,,143,13581.0,3878.0,1852.0
,,,,,,,,144,12317.0,3518.0,1679.0
,,,,,,,,145,7105.0,2029.0,969.0
,,,,,,,,146,6773.0,1934.0,923.0
,,,,,,,,147,6591.0,1883.0,899.0
,,,,,,,,148,6544.0,1869.0,892.0
,,,,,,,,149,6712.0,1917.0,915.0
,,,,,,,,150,7351.0,2099.0,1002.0
,,,,,,,,151,8428.0,2407.0,1149.0
,,,,,,,,152,9177.0,2621.0,1251.0
,,,,,,,,153,9611.0,2745.0,1310.0
,,,,,,,,154,9949.0,2842.0,1357.0
,,,,,,,,155,10231.0,2922.0,1395.0
,,,,,,,,156,10363.0,2960.0,1413.0
,,,,,,,,157,10354.0,2957.0,1412.0
,,,,,,,,158,10352.0,2956.0,1411.0
,,,,,,,,159,10256.0,2929.0,1398.0
,,,,,,,,160,10153.0,2900.0,1384.0
,,,,,,,,161,10137.0,2895.0,1382.0
,,,,,,,,162,10121.0,2890.0,1380.0
,,,,,,,,163,10033.0,2865.0,1368.0
,,,,,,,,164,10293.0,2940.0,1403.0
,,,,,,,,165,10027.0,2864.0,1367.0
,,,,,,,,166,9245.0,2640.0,1261.0
,,,,,,,,167,8259.0,2359.0,1126.0
,,,,,,,,168,7385.0,2109.0,1007.0
,,,,,,,,169,6784.0,1938.0,924.0
,,,,,,,,170,6472.0,1848.0,882.0
,,,,,,,,171,6306.0,1801.0,859.0
,,,,,,,,172,6263.0,1788.0,853.0
,,,,,,,,173,6421.0,1833.0,875.0
,,,,,,,,174,7043.0,2012.0,960.0
,,,,,,,,175,8240.0,2354.0,1123.0
,,,,,,,,176,8962.0,2559.0,1222.0
,,,,,,,,177,9291.0,2654.0,1267.0
,,,,,,,,178,9519.0,2719.0,1298.0
,,,,,,,,179,9705.0,2772.0,1323.0
,,,,,,,,180,9764.0,2789.0,1331.0
,,,,,,,,181,9780.0,2793.0,1333.0
,,,,,,,,182,9797.0,2798.0,1336.0
,,,,,,,,183,9753.0,2785.0,1329.0
,,,,,,,,184,9693.0,2768.0,1322.0
,,,,,,,,185,9664.0,2760.0,1318.0
,,,,,,,,186,9594.0,2740.0,1308.0
,,,,,,,,187,9614.0,2745.0,1311.0
,,,,,,,,188,9900.0,2828.0,1350.0
,,,,,,,,189,9584.0,2737.0,1307.0
,,,,,,,,190,8975.0,2563.0,1223.0
,,,,,,,,191,8193.0,2339.0,1117.0
,,,,,,,,192,7395.0,2112.0,1008.0
,,,,,,,,193,7508.0,2144.0,1024.0
,,,,,,,,194,7225.0,2063.0,985.0
,,,,,,,,195,7088.0,2024.0,966.0
,,,,,,,,196,7040.0,2010.0,959.0
,,,,,,,,197,7101.0,2028.0,968.0
,,,,,,,,198,7334.0,2094.0,999.0
,,,,,,,,199,7705.0,2200.0,1050.0
,,,,,,,,200,8157.0,2329.0,1112.0
,,,,,,,,201,8671.0,2476.0,1182.0
,,,,,,,,202,8939.0,2553.0,1219.0
,,,,,,,,203,9005.0,2572.0,1227.0
,,,,,,,,204,8996.0,2569.0,1226.0
,,,,,,,,205,8922.0,2548.0,1216.0
,,,,,,,,206,8825.0,2520.0,1203.0
,,,,,,,,207,8781.0,2508.0,1197.0
,,,,,,,,208,8986.0,2566.0,1225.0
,,,,,,,,209,9858.0,2815.0,1344.0
,,,,,,,,210,10631.0,3036.0,1449.0
,,,,,,,,211,10584.0,3022.0,1443.0
,,,,,,,,212,10304.0,2943.0,1405.0
,,,,,,,,213,9937.0,2838.0,1355.0
,,,,,,,,214,9289.0,2653.0,1267.0
,,,,,,,,215,8529.0,2436.0,1163.0
,,,,,,,,216,7851.0,2242.0,1070.0
,,,,,,,,217,7899.0,2256.0,1077.0
,,,,,,,,218,7613.0,2174.0,1038.0
,,,,,,,,219,7477.0,2135.0,1020.0
,,,,,,,,220,7470.0,2134.0,1018.0
,,,,,,,,221,7699.0,2199.0,1050.0
,,,,,,,,222,8428.0,2407.0,1149.0
,,,,,,,,223,9761.0,2787.0,1331.0
,,,,,,,,224,10471.0,2991.0,1428.0
,,,,,,,,225,10643.0,3040.0,1451.0
,,,,,,,,226,10719.0,3061.0,1461.0
,,,,,,,,227,10802.0,3085.0,1473.0
,,,,,,,,228,10835.0,3095.0,1477.0
,,,,,,,,229,10820.0,3090.0,1475.0
,,,,,,,,230,10811.0,3087.0,1474.0
,,,,,,,,231,10750.0,3070.0,1465.0
,,,,,,,,232,10888.0,3110.0,1484.0
,,,,,,,,233,11635.0,3323.0,1586.0
,,,,,,,,234,12129.0,3464.0,1654.0
,,,,,,,,235,12036.0,3437.0,1641.0
,,,,,,,,236,11714.0,3346.0,1597.0
,,,,,,,,237,11207.0,3201.0,1528.0
,,,,,,,,238,10396.0,2969.0,1418.0
,,,,,,,,239,9383.0,2680.0,1279.0
,,,,,,,,240,8476.0,2420.0,1156.0
