Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,1.0,1.0,0.0,0.95678848,0.0,0.874063134,1.0,1.0,1.0
2,1.0,1.0,1.0,0.0,0.960784912,0.0,0.785421908,1.0,1.0,1.0
3,1.0,1.0,1.0,0.0,0.964077592,0.0,0.838933825,1.0,1.0,1.0
4,1.0,1.0,1.0,0.0,0.821918488,0.0,0.836373806,1.0,1.0,1.0
5,1.0,1.0,1.0,0.0,0.535242558,0.0,0.798461854,1.0,1.0,1.0
6,1.0,1.0,1.0,0.0,0.421804518,0.0,0.835002184,1.0,1.0,1.0
7,1.0,1.0,1.0,0.0,0.44402492,0.0,0.936725378,1.0,1.0,1.0
8,1.0,1.0,1.0,0.0,0.506769657,0.0,0.92959249,1.0,1.0,1.0
9,1.0,1.0,1.0,0.1008,0.716469467,0.1563,0.786107421,1.0,1.0,1.0
10,1.0,1.0,1.0,0.3571,0.479748398,0.4284,0.73866868,1.0,1.0,1.0
11,1.0,1.0,1.0,0.5425,0.77202934,0.5777,0.717252851,1.0,1.0,1.0
12,1.0,1.0,1.0,0.6327,0.629349351,0.6501,0.634071887,1.0,1.0,1.0
13,1.0,1.0,1.0,0.6563,0.735723257,0.6632,0.717576087,1.0,1.0,1.0
14,1.0,1.0,1.0,0.6462,0.502739787,0.6461,0.680005491,1.0,1.0,1.0
15,1.0,1.0,1.0,0.5642,0.707346141,0.5617,0.761096835,1.0,1.0,1.0
16,1.0,1.0,1.0,0.3954,0.32747677,0.3732,0.737764895,1.0,1.0,1.0
17,1.0,1.0,1.0,0.1551,0.927522063,0.1768,0.7636289,1.0,1.0,1.0
18,1.0,1.0,1.0,0.0,0.636502683,0.0,0.771935344,1.0,1.0,1.0
19,1.0,1.0,1.0,0.0,0.664787829,0.0,0.867450655,1.0,1.0,1.0
20,1.0,1.0,1.0,0.0,0.515376031,0.0,0.923220873,1.0,1.0,1.0
21,1.0,1.0,1.0,0.0,0.439054638,0.0,0.93512392,1.0,1.0,1.0
22,1.0,1.0,1.0,0.0,0.750679374,0.0,0.801682234,1.0,1.0,1.0
23,1.0,1.0,1.0,0.0,0.814183295,0.0,0.73993969,1.0,1.0,1.0
24,1.0,1.0,1.0,0.0,0.872650862,0.0,0.863863051,1.0,1.0,1.0
25,1.0,1.0,1.0,0.0,0.705949306,0.0,0.780201435,1.0,1.0,1.0
26,1.0,1.0,1.0,0.0,0.834924579,0.0,0.786337197,1.0,1.0,1.0
27,1.0,1.0,1.0,0.0,0.832703173,0.0,0.797727823,1.0,1.0,1.0
28,1.0,1.0,1.0,0.0,0.727586865,0.0,0.823553085,1.0,1.0,1.0
29,1.0,1.0,1.0,0.0,0.626110256,0.0,0.758514643,1.0,1.0,1.0
30,1.0,1.0,1.0,0.0,0.721315265,0.0,0.721159458,1.0,1.0,1.0
31,1.0,1.0,1.0,0.0,0.785158873,0.0,0.718788862,1.0,1.0,1.0
32,1.0,1.0,1.0,0.0,0.59819752,0.0,0.807962596,1.0,1.0,1.0
33,1.0,1.0,1.0,0.0,0.567111433,0.0,0.934006155,1.0,1.0,1.0
34,1.0,1.0,1.0,0.003,0.326491237,0.0064,0.948075294,1.0,1.0,1.0
35,1.0,1.0,1.0,0.0852,0.390583217,0.116,0.981830955,1.0,1.0,1.0
36,1.0,1.0,1.0,0.1324,0.287067473,0.0999,0.98286736,1.0,1.0,1.0
37,1.0,1.0,1.0,0.1041,0.229321212,0.1202,0.940139234,1.0,1.0,1.0
38,1.0,1.0,1.0,0.1276,0.154025629,0.192,0.877916396,1.0,1.0,1.0
39,1.0,1.0,1.0,0.1108,0.115687042,0.1404,0.879350662,1.0,1.0,1.0
40,1.0,1.0,1.0,0.0825,0.054644316,0.0697,0.896614492,1.0,1.0,1.0
41,1.0,1.0,1.0,0.0043,0.088804618,0.0,0.837487161,1.0,1.0,1.0
42,1.0,1.0,1.0,0.0,0.72049433,0.0,0.721934199,1.0,1.0,1.0
43,1.0,1.0,1.0,0.0,0.834395289,0.0,0.659873962,1.0,1.0,1.0
44,1.0,1.0,1.0,0.0,0.950648248,0.0,0.497243434,1.0,1.0,1.0
45,1.0,1.0,1.0,0.0,0.999782085,0.0,0.501666129,1.0,1.0,1.0
46,1.0,1.0,1.0,0.0,1.0,0.0,0.587158203,1.0,1.0,1.0
47,1.0,1.0,1.0,0.0,1.0,0.0,0.723627448,1.0,1.0,1.0
48,1.0,1.0,1.0,0.0,1.0,0.0,0.83999908,1.0,1.0,1.0
49,1.0,1.0,1.0,0.0,0.465583175,0.0,0.699445486,1.0,1.0,1.0
50,1.0,1.0,1.0,0.0,0.707297444,0.0,0.740516305,1.0,1.0,1.0
51,1.0,1.0,1.0,0.0,0.895804107,0.0,0.670099914,1.0,1.0,1.0
52,1.0,1.0,1.0,0.0,0.819945991,0.0,0.605709374,1.0,1.0,1.0
53,1.0,1.0,1.0,0.0,0.610500693,0.0,0.594692707,1.0,1.0,1.0
54,1.0,1.0,1.0,0.0,0.34757489,0.0,0.614016056,1.0,1.0,1.0
55,1.0,1.0,1.0,0.0,0.285657108,0.0,0.590112448,1.0,1.0,1.0
56,1.0,1.0,1.0,0.0,0.317218393,0.0,0.627468705,1.0,1.0,1.0
57,1.0,1.0,1.0,0.1131,0.254971772,0.1509,0.457778186,1.0,1.0,1.0
58,1.0,1.0,1.0,0.3099,0.306124657,0.3546,0.473601222,1.0,1.0,1.0
59,1.0,1.0,1.0,0.4462,0.72285372,0.5514,0.414910913,1.0,1.0,1.0
60,1.0,1.0,1.0,0.4971,0.749075055,0.5828,0.367353141,1.0,1.0,1.0
61,1.0,1.0,1.0,0.5491,0.766450584,0.5721,0.440943152,1.0,1.0,1.0
62,1.0,1.0,1.0,0.5788,0.583024323,0.5944,0.561156869,1.0,1.0,1.0
63,1.0,1.0,1.0,0.5935,0.89966023,0.5804,0.544398606,1.0,1.0,1.0
64,1.0,1.0,1.0,0.4606,0.768344879,0.5083,0.415221393,1.0,1.0,1.0
65,1.0,1.0,1.0,0.2861,0.941289306,0.3311,0.461534441,1.0,1.0,1.0
66,1.0,1.0,1.0,0.04,0.691129565,0.0839,0.663944006,1.0,1.0,1.0
67,1.0,1.0,1.0,0.0,0.369385242,0.0,0.645860493,1.0,1.0,1.0
68,1.0,1.0,1.0,0.0,0.543988705,0.0,0.746088266,1.0,1.0,1.0
69,1.0,1.0,1.0,0.0,0.627581239,0.0,0.771381795,1.0,1.0,1.0
