Period_Index,Rep_Period,Rep_Period_Index
1,24,1
2,24,1
3,24,1
4,24,1
5,24,1
6,24,1
7,24,1
8,24,1
9,24,1
10,24,1
11,24,1
12,24,1
13,24,1
14,24,1
15,24,1
16,24,1
17,24,1
18,24,1
19,24,1
20,24,1
21,24,1
22,24,1
23,24,1
24,24,1
25,24,1
26,24,1
27,27,2
28,24,1
29,24,1
30,24,1
31,24,1
32,48,3
33,48,3
34,48,3
35,48,3
36,48,3
37,48,3
38,48,3
39,48,3
40,48,3
41,48,3
42,48,3
43,48,3
44,48,3
45,48,3
46,74,4
47,74,4
48,48,3
49,48,3
50,48,3
51,48,3
52,48,3
53,48,3
54,48,3
55,48,3
56,48,3
57,48,3
58,48,3
59,48,3
60,48,3
61,74,4
62,48,3
63,48,3
64,48,3
65,48,3
66,48,3
67,48,3
68,48,3
69,74,4
70,48,3
71,48,3
72,48,3
73,74,4
74,74,4
75,74,4
76,74,4
77,48,3
78,48,3
79,74,4
80,74,4
81,48,3
82,48,3
83,74,4
84,74,4
85,48,3
86,48,3
87,74,4
88,48,3
89,48,3
90,74,4
91,74,4
92,253,7
93,253,7
94,253,7
95,253,7
96,253,7
97,253,7
98,253,7
99,253,7
100,253,7
101,264,8
102,253,7
103,253,7
104,253,7
105,253,7
106,253,7
107,253,7
108,264,8
109,264,8
110,253,7
111,253,7
112,253,7
113,253,7
114,253,7
115,253,7
116,264,8
117,253,7
118,253,7
119,253,7
120,264,8
121,253,7
122,264,8
123,264,8
124,264,8
125,264,8
126,264,8
127,264,8
128,253,7
129,264,8
130,253,7
131,253,7
132,253,7
133,264,8
134,264,8
135,253,7
136,264,8
137,253,7
138,264,8
139,264,8
140,264,8
141,264,8
142,264,8
143,264,8
144,264,8
145,264,8
146,264,8
147,264,8
148,264,8
149,183,5
150,264,8
151,264,8
152,264,8
153,253,7
154,264,8
155,253,7
156,264,8
157,264,8
158,264,8
159,264,8
160,264,8
161,264,8
162,253,7
163,264,8
164,264,8
165,264,8
166,264,8
167,264,8
168,264,8
169,264,8
170,264,8
171,183,5
172,183,5
173,183,5
174,183,5
175,264,8
176,264,8
177,253,7
178,253,7
179,183,5
180,183,5
181,183,5
182,183,5
183,183,5
184,183,5
185,183,5
186,183,5
187,183,5
188,183,5
189,183,5
190,183,5
191,183,5
192,183,5
193,183,5
194,183,5
195,183,5
196,183,5
197,183,5
198,198,6
199,183,5
200,183,5
201,264,8
202,264,8
203,264,8
204,183,5
205,183,5
206,183,5
207,183,5
208,183,5
209,264,8
210,264,8
211,183,5
212,183,5
213,183,5
214,183,5
215,183,5
216,183,5
217,183,5
218,183,5
219,183,5
220,183,5
221,183,5
222,183,5
223,183,5
224,183,5
225,183,5
226,183,5
227,183,5
228,183,5
229,183,5
230,264,8
231,264,8
232,264,8
233,183,5
234,183,5
235,183,5
236,183,5
237,264,8
238,264,8
239,183,5
240,183,5
241,253,7
242,253,7
243,183,5
244,264,8
245,264,8
246,264,8
247,183,5
248,183,5
249,183,5
250,183,5
251,253,7
252,264,8
253,253,7
254,264,8
255,264,8
256,264,8
257,264,8
258,253,7
259,253,7
260,264,8
261,253,7
262,253,7
263,264,8
264,264,8
265,264,8
266,253,7
267,264,8
268,253,7
269,253,7
270,264,8
271,264,8
272,264,8
273,264,8
274,253,7
275,264,8
276,264,8
277,264,8
278,264,8
279,253,7
280,264,8
281,264,8
282,264,8
283,264,8
284,253,7
285,253,7
286,264,8
287,253,7
288,253,7
289,253,7
290,264,8
291,253,7
292,253,7
293,264,8
294,253,7
295,253,7
296,264,8
297,264,8
298,264,8
299,264,8
300,264,8
301,253,7
302,253,7
303,253,7
304,264,8
305,264,8
306,74,4
307,253,7
308,253,7
309,74,4
310,74,4
311,74,4
312,253,7
313,253,7
314,74,4
315,74,4
316,74,4
317,74,4
318,74,4
319,74,4
320,74,4
321,74,4
322,322,9
323,74,4
324,74,4
325,74,4
326,74,4
327,74,4
328,253,7
329,253,7
330,74,4
331,331,10
332,74,4
333,74,4
334,74,4
335,74,4
336,74,4
337,74,4
338,74,4
339,48,3
340,48,3
341,48,3
342,74,4
343,48,3
344,48,3
345,74,4
346,74,4
347,74,4
348,48,3
349,48,3
350,48,3
351,48,3
352,48,3
353,48,3
354,74,4
355,48,3
356,48,3
357,48,3
358,48,3
359,48,3
360,48,3
361,48,3
362,48,3
363,48,3
364,48,3
365,48,3
