region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,4.4897418829269566e7,0.0,0.0,7.062075649796575e6,0.0,0.0,160364.9128545988,842065.911648642,0.0,172458.6181712595,0.0,0.0,3.636111070807234e8,0.0,0.0,0.0,0.0,0.0,3.1047672315898234e8,0.0,3.636111070807234e8,3.63611107080723e8,4.172325134277344e-7
CT,CT_natural_gas_combined_cycle,2,1,2,1.0744132717835811e8,0.0,0.0,1.5932201696876405e7,0.0,0.0,234596.65934357094,1.30070376369269e6,0.0,158632.0267942242,0.0,0.0,5.757254446241232e8,0.0,0.0,0.0,0.0,0.0,4.5065798329905814e8,0.0,5.757254446241232e8,5.757254446241231e8,1.1920928955078125e-7
ME,ME_natural_gas_combined_cycle,3,1,3,2.2892272323833216e7,0.0,0.0,5.702416031002552e6,0.0,0.0,166616.2462748144,1.0866394868571432e6,0.0,185814.6222693182,0.0,0.0,2.82234887299582e8,0.0,0.0,0.0,0.0,0.0,2.5220112858934522e8,0.0,2.82234887299582e8,2.822348872995823e8,-2.980232238769531e-7
MA,MA_solar_pv,1,1,4,3.104452955296234e9,0.0,0.0,6.82761283017085e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787214238313314e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787214238313314e9,3.787214238313319e9,-5.245208740234375e-6
CT,CT_onshore_wind,2,1,5,2.5139863348824698e8,0.0,0.0,1.1174565802324806e8,0.0,0.0,587799.7155682773,0.0,0.0,0.0,0.0,0.0,3.637320912270673e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.637320912270673e8,3.6373209122706336e8,3.933906555175781e-6
CT,CT_solar_pv,2,1,6,5.780267768987938e9,0.0,0.0,1.2712523252780037e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051520094265942e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051520094265942e9,7.051520094265942e9,0.0
ME,ME_onshore_wind,3,1,7,1.3038667949812458e9,0.0,0.0,5.795634246621885e8,0.0,0.0,2.2077709047879684e6,0.0,0.0,0.0,0.0,0.0,1.8856379905482244e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8856379905482244e9,1.8856379905482223e9,2.1457672119140625e-6
MA,MA_battery,1,0,8,1.575148789715179e8,1.4885739026773024e9,0.0,3.93706767037163e7,3.720442109385522e8,0.0,1.2740331688116223e6,0.0,1.5052376758171353e6,0.0,1.410398234317427e9,0.0,3.4706811744531465e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4706811744531465e9,3.470681174453144e9,2.384185791015625e-6
CT,CT_battery,2,0,9,5.146263447170754e8,3.4016590358093915e9,0.0,1.2863030828176491e8,8.501879211932249e8,0.0,3.610133009466318e6,0.0,4.265280020635971e6,0.0,4.2727802021837325e9,0.0,9.17575922521527e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17575922521527e9,9.175759225215292e9,-2.288818359375e-5
ME,ME_battery,3,0,10,6.493378964434298e7,5.154641118246012e8,0.0,1.6230131755977271e7,1.2883165451577789e8,0.0,208384.2607455704,0.0,246200.68613607064,0.0,6.762871283219272e8,0.0,1.4022014010095096e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4022014010095096e9,1.4022014010095081e9,1.430511474609375e-6
