Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,45173.21488861938,686.5048750652838,0.00751161408721428
CT_natural_gas_combined_cycle,2,65713.34995618234,1642.8337489045582,0.004566210045662101
ME_natural_gas_combined_cycle,3,37025.83250551431,350.0347450127403,0.012075067600041258
MA_solar_pv,1,5.335730504355528e7,36394.52468108129,0.1673607942639166
CT_onshore_wind,2,5.877997155682772e6,2586.4056943235287,0.2594350310119459
CT_solar_pv,2,4.20048049793031e7,67763.98322377418,0.07076132236397208
ME_onshore_wind,3,2.207770904787968e7,13414.267438078661,0.18788103283497784
MA_battery,1,8.49355445874415e6,8043.039163169827,0.0
CT_battery,2,2.406755339644212e7,26277.89750393563,0.0
ME_battery,3,1.3892284049704694e6,3315.6551084733956,0.0
