Costs,Total,Zone1,Zone2,Zone3
cTotal,2.1059615254166046e10,5.900631562370777e9,1.2443298669849628e10,2.6415860219460406e9
cFix,2.096730352247657e10,5.896677402083474e9,1.2433141524654127e10,2.63748459573897e9
cVar,1.4466417260442045e7,2.939635757483338e6,8.697809405014178e6,2.8289720979444226e6
cFuel,3.2294091621984686e6,842065.911648642,1.30070376369269e6,1.0866394868571432e6
cNSE,0.0,0.0,0.0,0.0
cStart,516905.2672348019,172458.6181712595,158632.0267942242,185814.6222693182
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
