Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,3.26766209937516e6,3.4784060903338934e6,6.672829992380821e7,3.3334346572059423e7,0.0,0.0,0.0,1.0680871468557669e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,7272.521489031149,0.0,0.0,0.0,7272.521489031149
t2,0.0,0.0,0.0,0.0,0.0,0.0,6822.518512986042,0.0,0.0,0.0,6822.518512986042
t3,0.0,0.0,0.0,0.0,0.0,0.0,7037.761342157448,0.0,0.0,0.0,7037.761342157448
t4,0.0,0.0,0.0,0.0,0.0,0.0,6764.313845688532,0.0,0.0,0.0,6764.313845688532
t5,0.0,0.0,0.0,0.0,0.0,0.0,6203.420552405218,0.0,0.0,0.0,6203.420552405218
t6,0.0,0.0,0.0,0.0,0.0,0.0,5456.736578465097,0.0,0.0,0.0,5456.736578465097
t7,0.0,0.0,0.0,0.0,0.0,0.0,4459.21774416773,0.0,0.0,0.0,4459.21774416773
t8,0.0,0.0,0.0,0.0,0.0,0.0,3662.9232165862813,0.0,0.0,0.0,3662.9232165862813
t9,0.0,0.0,0.0,0.0,851.8017923589729,8749.71178048633,7060.260942365625,0.0,0.0,0.0,16661.774515210927
t10,0.0,0.0,0.0,0.0,0.03931336655371764,28603.17731875508,1062.4257696886045,0.0,0.0,0.0,29665.642401810237
t11,0.0,0.0,0.0,5272.572786685523,0.11768145909172056,16300.026409471582,335.5022307536697,0.0,0.0,0.0,21908.219108369867
t12,0.0,0.0,0.0,3234.1706400432813,1.4795275133808314,44073.694688742726,87.78018936142708,0.0,0.0,0.0,47397.12504566082
t13,0.0,0.0,0.0,0.0,224.50468272956053,41783.27205577916,162.3727721616767,0.0,0.0,0.0,42170.1495106704
t14,0.0,0.0,0.0,0.0,882.2168344474203,42047.55159035188,254.46732528787584,0.0,0.0,0.0,43184.23575008718
t15,0.0,0.0,0.0,0.0,844.6500728318907,6537.561949316747,466.9234587994212,0.0,0.0,0.0,7849.135480948059
t16,0.0,0.0,0.0,0.0,996.35922927621,0.0,1198.7506905104854,0.0,0.0,0.0,2195.109919786695
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,1125.9952178053227,0.0,0.0,0.0,1125.9952178053227
t19,0.0,0.0,0.0,0.0,0.0,0.0,3946.866210865015,0.0,0.0,0.0,3946.866210865015
t20,0.0,0.0,0.0,0.0,0.0,0.0,6636.1943652730915,0.0,0.0,0.0,6636.1943652730915
t21,0.0,0.0,0.0,0.0,0.0,0.0,6572.840431834908,0.0,0.0,0.0,6572.840431834908
t22,0.0,0.0,0.0,0.0,0.0,0.0,7667.913536766318,0.0,0.0,0.0,7667.913536766318
t23,0.0,0.0,0.0,0.0,0.0,0.0,7681.72112859596,0.0,0.0,0.0,7681.72112859596
t24,0.0,0.0,0.0,0.0,0.0,0.0,7733.4640462848365,0.0,0.0,0.0,7733.4640462848365
t25,0.0,0.0,0.0,0.0,0.0,0.0,7183.026147041644,0.0,0.0,0.0,7183.026147041644
t26,0.0,0.0,0.0,0.0,0.0,0.0,6733.172452588284,0.0,0.0,0.0,6733.172452588284
t27,0.0,0.0,0.0,0.0,0.0,0.0,5980.252745041827,0.0,0.0,0.0,5980.252745041827
t28,0.0,0.0,0.0,0.0,0.0,0.0,6896.8283165984485,0.0,0.0,0.0,6896.8283165984485
t29,0.0,0.0,0.0,0.0,0.0,0.0,7760.021129201761,0.0,0.0,0.0,7760.021129201761
t30,0.0,0.0,0.0,0.0,0.0,0.0,7225.411220261607,0.0,0.0,0.0,7225.411220261607
t31,0.0,0.0,0.0,0.0,0.0,0.0,6086.5670191251265,0.0,0.0,0.0,6086.5670191251265
t32,0.0,0.0,0.0,0.0,0.0,0.0,6311.6605456954585,0.0,0.0,0.0,6311.6605456954585
