Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,45173.21488861938,65713.34995618234,37025.83250551431,5.335730504355528e7,5.877997155682772e6,4.20048049793031e7,2.207770904787968e7,8.49355445874415e6,2.406755339644212e7,1.3892284049704694e6,1.5741606488392788e8
t1,0.0,0.0,0.0,0.0,1474.1089365502983,0.0,5070.0,0.0,4617.8910634497015,0.0,11162.0
t2,0.0,0.0,0.0,0.0,1612.0003395473561,0.0,5012.0,0.0,3931.999660452644,0.0,10556.0
t3,0.0,0.0,0.0,0.0,1795.4528720758306,0.0,4969.0,0.0,3340.547127924169,0.0,10105.0
t4,0.0,0.0,0.0,0.0,1674.4381774727392,0.0,4947.0,0.0,3256.561822527261,0.0,9878.0
t5,0.0,0.0,0.0,0.0,987.4212345204002,0.0,4944.0,0.0,3911.5787654796,0.0,9843.0
t6,0.0,0.0,0.0,0.0,632.5905458068312,0.0,4960.0,0.0,4424.409454193169,0.0,10017.0
t7,0.0,0.0,0.0,0.0,758.8430792105363,0.0,4996.0,0.0,4635.156920789464,0.0,10390.0
t8,0.0,0.0,0.0,0.0,979.2214465050528,0.0,5029.0,4718.778553494947,0.0,0.0,10727.0
t9,0.0,0.0,0.0,6474.585940764361,0.0,4823.414059235639,0.0,0.0,0.0,0.0,11298.0
t10,0.0,0.0,0.0,15613.251088183873,0.0,0.0,0.0,0.0,0.0,0.0,15613.251088183873
t11,0.0,0.0,0.0,15647.0,0.0,22826.89750393563,0.0,0.0,0.0,0.0,38473.89750393563
t12,0.0,0.0,0.0,20364.039163169826,0.0,0.0,0.0,0.0,0.0,0.0,20364.039163169826
t13,0.0,0.0,0.0,22593.720922015265,0.0,0.0,0.0,0.0,0.0,0.0,22593.720922015265
t14,0.0,0.0,0.0,21691.13670992445,0.0,0.0,0.0,0.0,0.0,0.0,21691.13670992445
t15,0.0,0.0,0.0,18244.57522262605,0.0,28225.361444479408,0.0,0.0,0.0,0.0,46469.93666710546
t16,0.0,0.0,0.0,12050.227121906015,0.0,22829.68594808952,0.0,0.0,0.0,0.0,34879.913069995535
t17,0.0,0.0,0.0,2336.5284845254187,671.1240929388704,7237.193408299083,2668.525748807923,0.0,496.62826542870516,0.0,13410.0
t18,0.0,0.0,0.0,0.0,2116.493572224949,0.0,5394.0,325.0,6703.506427775052,0.0,14539.0
t19,0.0,0.0,0.0,0.0,2450.293935010998,0.0,5386.0,265.0,6352.706064989002,0.0,14454.0
t20,0.0,0.0,0.0,0.0,2286.8768855645617,0.0,5343.0,0.0,6382.123114435439,0.0,14012.0
t21,0.0,0.0,0.0,0.0,2232.5220568510217,0.0,5294.0,0.0,5967.477943148979,0.0,13494.0
t22,0.0,0.0,0.0,0.0,2418.678743779459,0.0,5225.0,5128.321256220541,0.0,0.0,12772.0
