BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.340247825844384e7,8.49355445874415e6,-1.0034917838780902e7,0.0,0.0,0.0,0.0,3.063319912159286e7,0.0,-8.2494314e7,4.7948515484941944e7,2.406755339644212e7,-2.8435200137573138e7,0.0,0.0,0.0,0.0,-2.001679274381089e7,0.0,-2.3564076e7,2.2114734880385228e7,1.3892284049704694e6,-1.6413379075738043e6,0.0,0.0,0.0,0.0,-1.0616406377781883e7,0.0,-1.1246219e7
t1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7850.0,-0.0,-7850.0,1474.1089365502983,4617.8910634497015,-0.0,0.0,0.0,0.0,0.0,-3850.0,-0.0,-2242.0,5070.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1070.0
t2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7424.0,-0.0,-7424.0,1612.0003395473561,3931.999660452644,-0.0,0.0,0.0,0.0,0.0,-3424.0,-0.0,-2120.0,5012.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1012.0
t3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7107.0,-0.0,-7107.0,1795.4528720758306,3340.547127924169,-0.0,0.0,0.0,0.0,0.0,-3107.0,-0.0,-2029.0,4969.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-969.0
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6947.0,-0.0,-6947.0,1674.4381774727392,3256.561822527261,-0.0,0.0,0.0,0.0,0.0,-2947.0,-0.0,-1984.0,4947.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-947.0
t5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6922.0,-0.0,-6922.0,987.4212345204002,3911.5787654796,-0.0,0.0,0.0,0.0,0.0,-2922.0,-0.0,-1977.0,4944.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-944.0
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7045.0,-0.0,-7045.0,632.5905458068312,4424.409454193169,-0.0,0.0,0.0,0.0,0.0,-3045.0,-0.0,-2012.0,4960.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-960.0
t7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7307.0,-0.0,-7307.0,758.8430792105363,4635.156920789464,-0.0,0.0,0.0,0.0,0.0,-3307.0,-0.0,-2087.0,4996.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-996.0
t8,0.0,4718.778553494947,-0.0,0.0,0.0,0.0,0.0,2825.221446505053,-0.0,-7544.0,979.2214465050528,0.0,-0.0,0.0,0.0,0.0,0.0,1174.7785534949471,-0.0,-2154.0,5029.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1029.0
t9,6474.585940764361,0.0,-0.0,0.0,0.0,0.0,0.0,1471.414059235639,-0.0,-7946.0,4823.414059235639,0.0,-0.0,0.0,0.0,0.0,0.0,-2554.414059235639,-0.0,-2269.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1083.0,-0.0,-1083.0
t10,15613.251088183873,0.0,-0.0,0.0,0.0,0.0,0.0,-7273.251088183873,-0.0,-8340.0,0.0,0.0,-3518.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2382.0,0.0,0.0,-236.25108818387343,0.0,0.0,0.0,0.0,1373.2510881838734,-0.0,-1137.0
t11,15647.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7069.0,-0.0,-8578.0,22826.89750393563,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,5900.0,-0.0,-2449.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1169.0,-0.0,-1169.0
t12,20364.039163169826,0.0,-8043.039163169827,0.0,0.0,0.0,0.0,-3655.0,-0.0,-8666.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2474.0,-0.0,-2474.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1181.0,-0.0,-1181.0
t13,22593.720922015265,0.0,-6799.720922015265,0.0,0.0,0.0,0.0,-7087.0,-0.0,-8707.0,0.0,0.0,-3413.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2487.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1187.0,-0.0,-1187.0
t14,21691.13670992445,0.0,-5985.136709924449,0.0,0.0,0.0,0.0,-7076.0,-0.0,-8630.0,0.0,0.0,-3436.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2464.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1176.0,-0.0,-1176.0
t15,18244.57522262605,0.0,-8043.039163169827,0.0,0.0,0.0,0.0,-1657.5360594562217,-0.0,-8544.0,28225.361444479408,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,492.53605945622166,-0.0,-2440.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1165.0,-0.0,-1165.0
t16,12050.227121906015,0.0,-0.0,0.0,0.0,0.0,0.0,-3456.227121906015,-0.0,-8594.0,22829.68594808952,0.0,-22660.913069995535,0.0,0.0,0.0,0.0,2285.227121906015,-0.0,-2454.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1171.0,-0.0,-1171.0
