Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,48723.32422206922,11113.911313016926
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,44449.411547664175,11113.911313016926
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,40818.38206079008,11113.911313016926
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,37278.640949347406,11113.911313016926
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,33026.92489991306,11113.911313016926
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,28217.784188833524,11113.911313016926
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.454740975736,23179.57014449715,11113.911313016926
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17911.347617611664,23179.57014449715,11113.911313016926
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17911.347617611664,23179.57014449715,11113.911313016926
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17911.347617611664,26416.13014449715,11331.26231414609
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17911.347617611664,50591.79584811793,11331.26231414609
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25310.943647727905,50591.79584811793,11331.26231414609
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31566.68689598195,53731.75584811793,11331.26231414609
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37073.012669112446,56892.87584811793,11331.26231414609
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44472.60869922869,81068.54155173872,11331.26231414609
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44472.60869922869,101916.5815761346,11331.26231414609
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44472.60869922869,101376.76824414688,11331.26231414609
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44119.34782966347,94090.3482139566,11331.26231414609
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43831.3043514026,87185.23292592508,11331.26231414609
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43831.3043514026,80248.14258414743,11331.26231414609
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43831.3043514026,73761.75351550724,11331.26231414609
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38257.042116380275,73761.75351550724,11331.26231414609
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38257.042116380275,69174.3765082292,11331.26231414609
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38257.042116380275,64932.73673817029,11331.26231414609
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,64932.73673817029,11331.26231414609
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,61349.54120320995,11331.26231414609
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,58900.3077395803,11331.26231414609
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,56622.525527419275,11331.26231414609
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,53509.4991531558,11331.26231414609
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,50029.33268425121,11331.26231414609
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970.177246028325,45961.28484681922,11331.26231414609
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27964.388385690676,45961.28484681922,11331.26231414609
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27964.388385690676,45961.28484681922,11331.26231414609
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27964.388385690676,45961.28484681922,11331.26231414609
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27964.388385690676,70136.95055044,12571.945446451826
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31378.935499999367,94312.61625406078,12571.945446451826
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37904.67209427697,94312.61625406078,12571.945446451826
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45304.26812439321,94312.61625406078,12571.945446451826
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52703.86415450945,94312.61625406078,12571.945446451826
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58695.614146725165,107548.93877937051,12571.945446451826
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58695.614146725165,107548.93877937051,12571.945446451826
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56940.17936411647,99522.79296134866,12571.945446451826
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55294.52719020343,91062.12303755314,12571.945446451826
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46552.093317192746,89091.95171219115,12571.945446451826
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37809.65944418206,88542.38879135248,12571.945446451826
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,80650.72560996228,12571.945446451826
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,73761.2340309863,12571.945446451826
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,68109.18549958771,12571.945446451826
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,63322.827082097916,12571.945446451826
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,59104.34749460774,12571.945446451826
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37723.78987896467,54686.32619972782,12571.945446451826
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33634.957661899134,54686.32619972782,12571.945446451826
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33634.957661899134,50587.89157551457,12571.945446451826
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33634.957661899134,45374.636692201246,12571.945446451826
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33634.957661899134,38031.073183711254,12571.945446451826
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24904.42424263863,38031.073183711254,12571.945446451826
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24904.42424263863,38031.073183711254,12571.945446451826
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25329.475982713957,38031.073183711254,12571.945446451826
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27849.826501020358,40586.83318371126,12571.945446451826
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27849.826501020358,64762.49888733204,12571.945446451826
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35183.24574304465,64762.49888733204,12571.945446451826
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39154.04069502804,88938.16459095282,12571.945446451826
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46553.63672514428,113113.83029457359,12571.945446451826
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46553.63672514428,113113.83029457359,12571.945446451826
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46553.63672514428,115324.85443218655,12571.945446451826
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43405.81063818776,107717.18961084257,12571.945446451826
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40230.81063818776,100136.10884380293,12571.945446451826
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37290.593246883414,92503.40250749499,12571.945446451826
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34796.02802949211,85115.80000132491,12571.945446451826
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33082.98455123124,77942.23748028926,12571.945446451826
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,71069.99649760062,12571.945446451826
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,64702.37804790714,12571.945446451826
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,59073.47119391098,12571.945446451826
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,53826.696037395865,12571.945446451826
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,48679.26516600324,12571.945446451826
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,43410.36488433303,12571.945446451826
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32414.506290361674,37742.84103080214,12571.945446451826
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25436.515129570973,37742.84103080214,12571.945446451826
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24149.55860783184,29720.990137398323,12571.945446451826
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22062.60208609271,20990.086283647135,12571.945446451826
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22062.60208609271,20990.086283647135,12571.945446451826
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22062.60208609271,45165.75198726791,12571.945446451826
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26901.00133849992,45165.75198726791,12571.945446451826
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32020.36131254844,69341.41769088869,12571.945446451826
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39419.95734266468,93517.08339450946,14810.305446451826
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43782.533769079426,95950.48339450946,14810.305446451826
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51182.12979919567,120126.14909813023,14810.305446451826
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51182.12979919567,133143.8772235359,17057.865446451826
