Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
