region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,4.4897418829269454e7,0.0,0.0,7.062075649796558e6,0.0,0.0,160364.9128545987,842065.9116486413,0.0,172458.6181712576,0.0,0.0,3.636111070807231e8,0.0,0.0,0.0,0.0,0.0,3.104767231589823e8,0.0,3.636111070807231e8,3.636111070807228e8,2.980232238769531e-7
CT,CT_natural_gas_combined_cycle,2,1,2,1.0744132717835805e8,0.0,0.0,1.5932201696876397e7,0.0,0.0,234596.6593435709,1.3007037636926898e6,0.0,158632.02679422405,0.0,0.0,5.757254446241223e8,0.0,0.0,0.0,0.0,0.0,4.506579832990575e8,0.0,5.757254446241223e8,5.757254446241224e8,-1.1920928955078125e-7
ME,ME_natural_gas_combined_cycle,3,1,3,2.289227232383344e7,0.0,0.0,5.702416031002608e6,0.0,0.0,166616.24627481477,1.0866394868571502e6,0.0,185814.62226932612,0.0,0.0,2.822348872995818e8,0.0,0.0,0.0,0.0,0.0,2.5220112858934525e8,0.0,2.822348872995818e8,2.822348872995826e8,-7.748603820800781e-7
MA,MA_solar_pv,1,1,4,3.104452955296218e9,0.0,0.0,6.827612830170815e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787214238313295e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787214238313295e9,3.787214238313299e9,-4.291534423828125e-6
CT,CT_onshore_wind,2,1,5,2.5139863348824817e8,0.0,0.0,1.1174565802324858e8,0.0,0.0,587902.1595042007,0.0,0.0,0.0,0.0,0.0,3.6373219367100513e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6373219367100513e8,3.6373219367100096e8,4.172325134277344e-6
CT,CT_solar_pv,2,1,6,5.780267768987936e9,0.0,0.0,1.2712523252780032e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051520094265941e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051520094265941e9,7.05152009426594e9,9.5367431640625e-7
ME,ME_onshore_wind,3,1,7,1.3038667949812539e9,0.0,0.0,5.795634246621921e8,0.0,0.0,2.207668460852053e6,0.0,0.0,0.0,0.0,0.0,1.8856378881043012e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8856378881043012e9,1.885637888104298e9,3.0994415283203125e-6
MA,MA_battery,1,0,8,1.5751487897151616e8,1.478352345977256e9,0.0,3.937067670371587e7,3.6948950338241905e8,0.0,1.2667289549293087e6,0.0,1.4966079335176188e6,0.0,1.4057991824151776e9,0.0,3.453289924338534e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453289924338534e9,3.4532899243385315e9,2.384185791015625e-6
CT,CT_battery,2,0,9,5.1462634471707517e8,3.4032744829158125e9,0.0,1.2863030828176485e8,8.505916752446296e8,0.0,3.618688714464119e6,0.0,4.2753883677505795e6,0.0,4.2902439794790444e9,0.0,9.195260867720518e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195260867720518e9,9.195260867720541e9,-2.288818359375e-5
ME,ME_battery,3,0,10,6.493378964434307e7,5.24070221418233e8,0.0,1.6230131755977293e7,1.3098260802050796e8,0.0,207132.76963007523,0.0,244722.08132097704,0.0,6.634224029288523e8,0.0,1.4000910086188653e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000910086188653e9,1.4000910086188645e9,7.152557373046875e-7
