Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,45173.21488861935,686.5048750652821,0.007511614087214293
CT_natural_gas_combined_cycle,2,65713.34995618233,1642.8337489045573,0.004566210045662103
ME_natural_gas_combined_cycle,3,37025.832505514394,350.0347450127437,0.012075067600041171
MA_solar_pv,1,5.343941507220376e7,36394.5246810811,0.16761834099721712
CT_onshore_wind,2,5.879021595042006e6,2586.405694323541,0.25948024632081496
CT_solar_pv,2,4.19226949506546e7,67763.98322377416,0.0706229997551807
ME_onshore_wind,3,2.207668460852053e7,13414.267438078743,0.18787231486861267
MA_battery,1,8.444859699528726e6,8043.0391631697385,0.0
CT_battery,2,2.4124591429760795e7,26277.89750393562,0.0
ME_battery,3,1.3808851308671683e6,3315.6551084734,0.0
