Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,3.185552070726437e6,3.4773816509747165e6,6.6810409952456675e7,3.3335371011418883e7,0.0,0.0,0.0,1.068087146855767e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,7272.521489031225,0.0,0.0,0.0,7272.521489031225
t2,0.0,0.0,0.0,0.0,0.0,0.0,6822.518512986115,0.0,0.0,0.0,6822.518512986115
t3,0.0,0.0,0.0,0.0,0.0,0.0,7037.761342157521,0.0,0.0,0.0,7037.761342157521
t4,0.0,0.0,0.0,0.0,0.0,0.0,6764.3138456886045,0.0,0.0,0.0,6764.3138456886045
t5,0.0,0.0,0.0,0.0,0.0,0.0,6203.420552405285,0.0,0.0,0.0,6203.420552405285
t6,0.0,0.0,0.0,0.0,0.0,0.0,5456.736578465161,0.0,0.0,0.0,5456.736578465161
t7,0.0,0.0,0.0,0.0,0.0,0.0,4459.217744167789,0.0,0.0,0.0,4459.217744167789
t8,0.0,0.0,0.0,0.0,0.0,0.0,3662.923216586334,0.0,0.0,0.0,3662.923216586334
t9,0.0,0.0,0.0,0.0,851.8017923589769,8749.711780486294,7060.260942365668,0.0,0.0,0.0,16661.77451521094
t10,0.0,0.0,0.0,0.0,0.039313366553717824,12212.791875809198,1062.4257696886111,0.0,0.0,0.0,13275.256958864364
t11,0.0,0.0,0.0,5272.572786685414,0.11768145909172112,16300.026409471586,335.50223075367177,0.0,0.0,0.0,21908.21910836976
t12,0.0,0.0,0.0,3234.170640043245,1.4795275133808383,44073.69468874272,87.78018936142762,0.0,0.0,0.0,47397.125045660774
t13,0.0,0.0,0.0,0.0,224.5046827295616,41783.272055779154,162.3727721616777,0.0,0.0,0.0,42170.149510670395
t14,0.0,0.0,0.0,5985.136709924336,882.2168344474245,42047.551590351875,254.4673252878774,0.0,0.0,0.0,49169.37246001152
t15,0.0,0.0,0.0,0.0,844.6500728318947,3702.5619493167433,466.92345879942405,0.0,0.0,0.0,5014.135480948062
t16,0.0,0.0,0.0,0.0,996.3592292762147,18708.24663426504,1198.7506905104926,0.0,0.0,0.0,20903.35655405175
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,1125.9952178053618,0.0,0.0,0.0,1125.9952178053618
t19,0.0,0.0,0.0,0.0,0.0,0.0,3946.8662108650715,0.0,0.0,0.0,3946.8662108650715
t20,0.0,0.0,0.0,0.0,0.0,0.0,6636.194365273164,0.0,0.0,0.0,6636.194365273164
t21,0.0,0.0,0.0,0.0,0.0,0.0,6572.8404318349785,0.0,0.0,0.0,6572.8404318349785
t22,0.0,0.0,0.0,0.0,0.0,0.0,7667.913536766397,0.0,0.0,0.0,7667.913536766397
t23,0.0,0.0,0.0,0.0,0.0,0.0,7681.721128596038,0.0,0.0,0.0,7681.721128596038
t24,0.0,0.0,0.0,0.0,0.0,0.0,7733.464046284915,0.0,0.0,0.0,7733.464046284915
t25,0.0,0.0,0.0,0.0,0.0,0.0,7183.026147041719,0.0,0.0,0.0,7183.026147041719
t26,0.0,0.0,0.0,0.0,0.0,0.0,6733.172452588355,0.0,0.0,0.0,6733.172452588355
t27,0.0,0.0,0.0,0.0,0.0,0.0,5980.252745041895,0.0,0.0,0.0,5980.252745041895
t28,0.0,0.0,0.0,0.0,0.0,0.0,6896.828316598519,0.0,0.0,0.0,6896.828316598519
t29,0.0,0.0,0.0,0.0,0.0,0.0,7760.0211292018375,0.0,0.0,0.0,7760.0211292018375
t30,0.0,0.0,0.0,0.0,0.0,0.0,7225.411220261682,0.0,0.0,0.0,7225.411220261682
t31,0.0,0.0,0.0,0.0,0.0,0.0,6086.567019125194,0.0,0.0,0.0,6086.567019125194
t32,0.0,0.0,0.0,0.0,0.0,0.0,6311.660545695528,0.0,0.0,0.0,6311.660545695528
t33,0.0,0.0,0.0,0.0,1694.2937527610936,4662.007239612503,12178.131868345965,0.0,0.0,0.0,18534.432860719564
t34,0.0,0.0,0.0,0.0,2182.8515916379547,28428.43458428845,12934.844484394913,0.0,0.0,0.0,43546.130660321316
t35,0.0,0.0,0.0,0.0,2559.6613981711394,6137.102392517278,12646.388276072175,0.0,0.0,0.0,21343.152066760595
t36,0.0,0.0,0.0,0.0,2574.880251551913,20791.71642171479,11443.4517170647,0.0,0.0,0.0,34810.0483903314
t37,0.0,0.0,0.0,0.0,2586.405694323541,42786.179007491,10621.764266268989,0.0,0.0,0.0,55994.348968083534
t38,0.0,0.0,0.0,0.0,2586.405694323541,34703.495024907024,11832.760304953006,0.0,0.0,0.0,49122.66102418357
t39,0.0,0.0,0.0,0.0,2582.432791542256,28982.655624808212,11915.681900305432,0.0,0.0,0.0,43480.7703166559
t40,0.0,0.0,0.0,0.0,2476.4006174996184,0.0,12063.497603343178,0.0,0.0,0.0,14539.898220842795
t41,0.0,0.0,0.0,0.0,2288.689366255795,0.0,9717.412043286235,0.0,0.0,0.0,12006.101409542029
t42,0.0,0.0,0.0,0.0,0.0,0.0,4960.878311810424,0.0,0.0,0.0,4960.878311810424
t43,0.0,0.0,0.0,0.0,0.0,0.0,5840.898561647975,0.0,0.0,0.0,5840.898561647975
t44,0.0,0.0,0.0,0.0,0.0,0.0,6428.837509066598,0.0,0.0,0.0,6428.837509066598
t45,0.0,0.0,0.0,0.0,0.0,0.0,6552.00408694476,0.0,0.0,0.0,6552.00408694476
t46,0.0,0.0,0.0,0.0,0.0,0.0,5936.545112345499,0.0,0.0,0.0,5936.545112345499
t47,0.0,0.0,0.0,0.0,0.0,0.0,5205.722201425673,0.0,0.0,0.0,5205.722201425673
t48,0.0,0.0,0.0,0.0,0.0,0.0,5573.251943707301,0.0,0.0,0.0,5573.251943707301
t49,0.0,0.0,0.0,0.0,0.0,0.0,6555.608198596608,0.0,0.0,0.0,6555.608198596608
t50,0.0,0.0,0.0,0.0,0.0,0.0,5803.370819955571,0.0,0.0,0.0,5803.370819955571
t51,0.0,0.0,0.0,0.0,0.0,0.0,2680.671502924464,0.0,0.0,0.0,2680.671502924464
t52,0.0,0.0,0.0,0.0,0.0,0.0,1386.5952319649787,0.0,0.0,0.0,1386.5952319649787
t53,0.0,0.0,0.0,0.0,0.0,0.0,2668.10527592948,0.0,0.0,0.0,2668.10527592948
t54,0.0,0.0,0.0,0.0,0.0,0.0,2952.666991248021,0.0,0.0,0.0,2952.666991248021
t55,0.0,0.0,0.0,0.0,0.0,0.0,4648.790333102648,0.0,0.0,0.0,4648.790333102648
t56,0.0,0.0,0.0,0.0,0.0,0.0,5182.490012589618,0.0,0.0,0.0,5182.490012589618
t57,0.0,0.0,0.0,0.0,1891.5448476065787,5381.284863222827,11709.635586689425,0.0,0.0,0.0,18982.46529751883
t58,0.0,0.0,0.0,0.0,2567.3608537641367,29172.39477783478,12236.829416159475,0.0,0.0,0.0,43976.58504775839
t59,0.0,0.0,0.0,0.0,2586.405694323541,38672.90522580792,13157.68060487858,0.0,0.0,0.0,54416.99152501004
t60,0.0,0.0,0.0,0.0,2586.405694323541,15015.917536199486,13344.269805275268,0.0,0.0,0.0,30946.593035798294
t61,0.0,0.0,0.0,0.0,2586.405694323541,44866.533292460874,13263.473405484523,0.0,0.0,0.0,60716.41239226894
t62,0.0,0.0,0.0,0.0,2586.405694323541,20754.207142866533,13397.302534778211,0.0,0.0,0.0,36737.91537196829
t63,0.0,0.0,0.0,0.0,2586.405694323541,38835.53878554498,13363.288754862986,0.0,0.0,0.0,54785.23323473151
t64,0.0,0.0,0.0,0.0,2585.5070864611334,26087.96565836836,13189.235750786416,0.0,0.0,0.0,41862.70849561591
t65,0.0,0.0,0.0,0.0,2446.61054672393,0.0,10804.775656577141,0.0,0.0,0.0,13251.386203301072
t66,0.0,0.0,0.0,0.0,0.0,0.0,7642.346505728472,0.0,0.0,0.0,7642.346505728472
t67,0.0,0.0,0.0,0.0,0.0,0.0,7628.363842548893,0.0,0.0,0.0,7628.363842548893
t68,0.0,0.0,0.0,0.0,0.0,0.0,7523.88412809343,0.0,0.0,0.0,7523.88412809343
t69,0.0,0.0,0.0,0.0,0.0,0.0,7504.395968556213,0.0,0.0,0.0,7504.395968556213
t70,0.0,0.0,0.0,0.0,0.0,0.0,7753.624945357846,0.0,0.0,0.0,7753.624945357846
t71,0.0,0.0,0.0,0.0,0.0,0.0,7372.189264880624,0.0,0.0,0.0,7372.189264880624
t72,0.0,0.0,0.0,0.0,0.0,0.0,7219.947586368535,0.0,0.0,0.0,7219.947586368535
t73,0.0,0.0,0.0,0.0,0.0,0.0,7884.931811217048,0.0,0.0,0.0,7884.931811217048
t74,0.0,0.0,0.0,0.0,0.0,0.0,7470.115795520271,0.0,0.0,0.0,7470.115795520271
t75,0.0,0.0,0.0,0.0,0.0,0.0,7280.90908730483,0.0,0.0,0.0,7280.90908730483
t76,0.0,0.0,0.0,0.0,0.0,0.0,7001.33799360886,0.0,0.0,0.0,7001.33799360886
