BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.348458828709231e7,8.444859699528726e6,-9.977386223450793e6,0.0,0.0,0.0,0.0,3.05422522368297e7,0.0,-8.2494314e7,4.786742989565268e7,2.4124591429760795e7,-2.8502589118337195e7,0.0,0.0,0.0,0.0,-1.9925356207076285e7,0.0,-2.3564076e7,2.2113710441026077e7,1.3808851308671683e6,-1.631480542139847e6,0.0,0.0,0.0,0.0,-1.0616896029753363e7,0.0,-1.1246219e7
t1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7850.0,-0.0,-7850.0,1474.1089365503053,4617.891063449695,-0.0,0.0,0.0,0.0,0.0,-3850.0,-0.0,-2242.0,5070.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1070.0
t2,0.0,3931.999660452636,-0.0,0.0,0.0,0.0,0.0,3492.000339547364,-0.0,-7424.0,1612.0003395473639,0.0,-0.0,0.0,0.0,0.0,0.0,507.99966045263614,-0.0,-2120.0,5012.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1012.0
t3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7107.0,-0.0,-7107.0,1795.4528720758392,3340.547127924161,-0.0,0.0,0.0,0.0,0.0,-3107.0,-0.0,-2029.0,4969.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-969.0
t4,0.0,3256.561822527253,-0.0,0.0,0.0,0.0,0.0,3690.438177472747,-0.0,-6947.0,1674.4381774727472,0.0,-0.0,0.0,0.0,0.0,0.0,309.56182252725284,-0.0,-1984.0,4947.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-947.0
t5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6922.0,-0.0,-6922.0,987.4212345204049,3911.578765479595,-0.0,0.0,0.0,0.0,0.0,-2922.0,-0.0,-1977.0,4944.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-944.0
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7045.0,-0.0,-7045.0,632.5905458068343,4424.409454193165,-0.0,0.0,0.0,0.0,0.0,-3045.0,-0.0,-2012.0,4960.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-960.0
t7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7307.0,-0.0,-7307.0,758.8430792105399,4635.15692078946,-0.0,0.0,0.0,0.0,0.0,-3307.0,-0.0,-2087.0,4996.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-996.0
t8,0.0,4718.778553494943,-0.0,0.0,0.0,0.0,0.0,2825.2214465050574,-0.0,-7544.0,979.2214465050574,0.0,-0.0,0.0,0.0,0.0,0.0,1174.7785534949426,-0.0,-2154.0,5029.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1029.0
t9,6474.5859407643275,0.0,-0.0,0.0,0.0,0.0,0.0,1471.4140592356725,-0.0,-7946.0,4823.4140592356725,0.0,-0.0,0.0,0.0,0.0,0.0,-2554.4140592356725,-0.0,-2269.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1083.0,-0.0,-1083.0
t10,15613.251088183792,0.0,-8043.0391631697385,0.0,0.0,0.0,0.0,769.7880749859469,-0.0,-8340.0,16390.385442945873,0.0,-12101.597367959925,0.0,0.0,0.0,0.0,-1906.7880749859469,-0.0,-2382.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1137.0,-0.0,-1137.0
t11,15647.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7069.0,-0.0,-8578.0,22826.89750393562,0.0,-26277.89750393562,0.0,0.0,0.0,0.0,5900.0,-0.0,-2449.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1169.0,-0.0,-1169.0
t12,20364.03916316974,0.0,-8043.0391631697385,0.0,0.0,0.0,0.0,-3655.0,-0.0,-8666.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2474.0,-0.0,-2474.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1181.0,-0.0,-1181.0
t13,22593.72092201515,0.0,-6799.720922015149,0.0,0.0,0.0,0.0,-7087.0,-0.0,-8707.0,0.0,0.0,-3413.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2487.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1187.0,-0.0,-1187.0
t14,15706.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7076.0,-0.0,-8630.0,0.0,0.0,-3436.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2464.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1176.0,-0.0,-1176.0
