region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,1.472691945168933e8,0.0,0.0,2.3164498532037944e7,0.0,0.0,162085.73650591855,929513.7580098009,0.0,0.0,0.0,0.0,2.1601911462113123e9,0.0,0.0,0.0,0.0,0.0,1.988665853667866e9,0.0,2.1601911462113123e9,2.160191146211313e9,-4.76837158203125e-7
CT,CT_natural_gas_combined_cycle,2,1,2,2.2459399358417302e8,0.0,0.0,3.330447323821575e7,0.0,0.0,236244.1077940173,1.3098379193365998e6,0.0,0.0,0.0,0.0,3.150752171888196e9,0.0,0.0,0.0,0.0,0.0,2.8913076230386777e9,0.0,3.150752171888196e9,3.150752171888197e9,-9.5367431640625e-7
ME,ME_natural_gas_combined_cycle,3,1,3,1.2017391242615281e8,0.0,0.0,2.9935064332331125e7,0.0,0.0,168006.4371106357,1.3098379193366002e6,0.0,0.0,0.0,0.0,1.7659348440543997e9,0.0,0.0,0.0,0.0,0.0,1.614348022939467e9,0.0,1.7659348440543997e9,1.765934844054398e9,1.6689300537109375e-6
MA,MA_solar_pv,1,1,4,3.268119212227229e9,0.0,0.0,7.187563472612288e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9868755594884567e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9868755594884567e9,3.9868755594884577e9,-9.5367431640625e-7
CT,CT_onshore_wind,2,1,5,9.711998693507788e8,0.0,0.0,4.316943452191399e8,0.0,0.0,2.0461828198194818e6,0.0,0.0,0.0,0.0,0.0,1.404940397389739e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404940397389739e9,1.404940397389738e9,9.5367431640625e-7
CT,CT_solar_pv,2,1,6,4.1915551606927795e9,0.0,0.0,9.218473014606863e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.113402462153466e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.113402462153466e9,5.113402462153466e9,0.0
ME,ME_onshore_wind,3,1,7,6.599539361227043e8,0.0,0.0,2.9334680874672264e8,0.0,0.0,1.8203295905996913e6,0.0,0.0,0.0,0.0,0.0,9.551210744600288e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551210744600288e8,9.551210744600266e8,2.1457672119140625e-6
MA,MA_battery,1,0,8,2.3820518878690788e8,1.686394776850452e9,0.0,5.953913394158058e7,4.214862379058078e8,0.0,1.8472812614644042e6,0.0,2.1825156680817627e6,0.0,1.559719699155097e9,0.0,3.969374833569391e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.969374833569391e9,3.9693748335693917e9,-9.5367431640625e-7
CT,CT_battery,2,0,9,2.9582250874326015e8,2.260157373512768e9,0.0,7.394052186980486e7,5.648886260286646e8,0.0,1.08228329903746e6,0.0,1.2786900981066406e6,0.0,2.6695452369033575e9,0.0,5.866715240455001e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866715240455001e9,5.866715240455e9,9.5367431640625e-7
ME,ME_battery,3,0,10,5.123253596868224e7,3.789631758921684e8,0.0,1.2805517951730983e7,9.471552302239579e7,0.0,125290.37762487392,0.0,148027.38377229904,0.0,3.8677558865214676e8,0.0,9.247656592485217e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.247656592485217e8,9.247656592485213e8,3.5762786865234375e-7
