Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,2251.822546129867,2251.822546129867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,3434.158923305398,3434.158923305398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,1837.5215967301654,1837.5215967301654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,38313.23812693117,38313.23812693117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,9991.768203197313,9991.768203197313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,49138.981954194365,49138.981954194365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,6789.649548587493,6789.649548587493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,12163.255146390313,12163.255146390313,0.0,0.0,0.0,74970.87120345212,74970.87120345212,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,15105.31601017464,15105.31601017464,0.0,0.0,0.0,100478.23301826122,100478.23301826122,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,2616.0404395773203,2616.0404395773203,0.0,0.0,0.0,16847.300430877942,16847.300430877942,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,141641.752495218,141641.752495218,n/a,0.0,0.0,192296.40465259127,192296.40465259127,0.0,0.0,0.0,0.0
