Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,45657.95394532917,2251.822546129867,0.002314611872146118
CT_natural_gas_combined_cycle,2,66174.820110369,3434.158923305398,0.002199724409281347
ME_natural_gas_combined_cycle,3,37334.76380236349,1837.5215967301654,0.002319406392694064
MA_solar_pv,1,5.275842770264418e7,38313.23812693117,0.1571950547295385
CT_onshore_wind,2,2.0461828198194817e7,9991.768203197313,0.23377495246865101
CT_solar_pv,2,2.852533830186578e7,49138.981954194365,0.06626749330669202
ME_onshore_wind,3,1.820329590599691e7,6789.649548587493,0.3060543553658636
MA_battery,1,1.2315208409762695e7,12163.255146390313,0.0
CT_battery,2,7.215221993583067e6,15105.31601017464,0.0
ME_battery,3,835269.1841658262,2616.0404395773203,0.0
