Costs,Total,Zone1,Zone2,Zone3
cTotal,1.9028433754561867e10,7.107627406446199e9,1.0128873971944365e10,1.7178333761713324e9
cFix,1.81730652381853e10,6.562934590022138e9,9.96900417370027e9,1.6411264744628882e9
cVar,1.1096936779917184e7,4.191882666052087e6,4.643400324757597e6,2.261653789107502e6
cFuel,3.5491895966829974e6,929513.7580098009,1.3098379193365998e6,1.3098379193366002e6
cNSE,7.6662339e8,5.3957142e8,1.5391656e8,7.313541e7
cStart,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
