Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,8.343378871880776e6,1.6330420649942378e7,5.9715541377642944e7,9.675448899885077e6,0.0,0.0,0.0,9.406478979935117e7
t1,0.0,0.0,0.0,0.0,3652.0087116494888,0.0,884.5823632000693,0.0,0.0,0.0,4536.591074849558
t2,0.0,0.0,0.0,0.0,4161.940133833328,0.0,332.7395031029273,0.0,0.0,0.0,4494.6796369362555
t3,0.0,0.0,0.0,0.0,4425.839829160632,0.0,720.0666662060294,0.0,0.0,0.0,5145.906495366661
t4,0.0,0.0,0.0,0.0,3064.419014018413,0.0,708.6850343583037,0.0,0.0,0.0,3773.1040483767165
t5,0.0,0.0,0.0,0.0,0.0,0.0,423.2761665754333,0.0,0.0,0.0,423.2761665754333
t6,0.0,0.0,0.0,0.0,0.0,0.0,579.3722016651709,0.0,0.0,0.0,579.3722016651709
t7,0.0,0.0,0.0,0.0,0.0,0.0,1087.0370398881487,0.0,0.0,0.0,1087.0370398881487
t8,0.0,0.0,0.0,0.0,0.0,0.0,937.6072300988235,0.0,0.0,0.0,937.6072300988235
t9,0.0,0.0,0.0,0.0,7158.796838932327,0.0,2442.79117876917,0.0,0.0,0.0,9601.588017701497
t10,0.0,0.0,0.0,0.0,4793.53478867125,12263.139869176866,5015.301469717719,0.0,0.0,0.0,22071.976127565835
t11,0.0,0.0,0.0,6390.931683860163,7713.938211347408,28387.589874938083,4869.895496015242,0.0,0.0,0.0,47362.3552661609
t12,0.0,0.0,0.0,9906.785762909356,6288.312834024665,31945.252168421757,4305.125901341569,0.0,0.0,0.0,52445.476666697345
t13,0.0,0.0,0.0,8445.339851666904,7351.176245645364,32588.972832021704,4872.090155176729,0.0,0.0,0.0,53257.5790845107
t14,0.0,0.0,0.0,10696.014477622924,5023.259418228789,31748.69624060498,4616.998975005166,0.0,0.0,0.0,52084.969111461854
t15,0.0,0.0,0.0,0.0,7067.638680298123,13266.95498320018,5167.580782189119,0.0,0.0,0.0,25502.174445687422
t16,0.0,0.0,0.0,0.0,3272.0719777717595,18338.668065305337,5009.165086300449,0.0,0.0,0.0,26619.905129377545
t17,0.0,0.0,0.0,0.0,9267.585456847373,0.0,5184.772616173364,0.0,0.0,0.0,14452.358073020738
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,363.68594814267453,0.0,0.0,0.0,363.68594814267453
t20,0.0,0.0,0.0,0.0,0.0,0.0,779.3461836110009,0.0,0.0,0.0,779.3461836110009
t21,0.0,0.0,0.0,0.0,0.0,0.0,919.1637013013669,0.0,0.0,0.0,919.1637013013669
t22,0.0,0.0,0.0,0.0,0.0,0.0,111.14141818871303,0.0,0.0,0.0,111.14141818871303
t23,0.0,0.0,0.0,0.0,532.0619407458871,0.0,0.0,0.0,0.0,0.0,532.0619407458871
t24,0.0,0.0,0.0,0.0,2380.3251354243257,0.0,769.3273742635647,0.0,0.0,0.0,3149.6525096878904
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,1703.1521111619322,0.0,34.846195964928484,0.0,0.0,0.0,1737.9983071268607
t51,0.0,0.0,0.0,0.0,3390.410571214781,0.0,0.0,0.0,0.0,0.0,3390.410571214781
t52,0.0,0.0,0.0,0.0,2235.264658967224,0.0,0.0,0.0,0.0,0.0,2235.264658967224
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
