Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,45657.95394532917,66174.820110369,37334.76380236349,5.275842770264418e7,2.0461828198194817e7,2.852533830186578e7,1.820329590599691e7,1.2315208409762695e7,7.215221993583067e6,835269.1841658262,1.4046375723407134e8
t1,0.0,0.0,0.0,0.0,5908.0,0.0,5050.0,0.0,0.0,0.0,10958.0
t2,0.0,0.0,0.0,0.0,5438.0,0.0,5000.0,0.0,0.0,0.0,10438.0
t3,0.0,0.0,0.0,0.0,5207.0,0.0,4976.0,0.0,0.0,0.0,10183.0
t4,0.0,0.0,0.0,0.0,5148.0,0.0,4970.0,0.0,0.0,0.0,10118.0
t5,0.0,0.0,0.0,0.0,5348.019572022393,0.0,4998.0,60.98042797760718,0.0,0.0,10407.0
t6,0.0,0.0,0.0,0.0,4214.572970917368,0.0,5090.0,2062.4270290826316,0.0,0.0,11367.0
t7,0.0,0.0,0.0,0.0,4436.59407708323,0.0,5273.0,0.0,3566.4059229167697,0.0,13276.0
t8,0.0,0.0,0.0,0.0,5063.524945157808,0.0,5374.0,3892.4750548421916,0.0,0.0,14330.0
t9,0.0,0.0,0.0,3861.9744031946625,0.0,7680.422879440579,2894.602717364758,0.0,0.0,0.0,14437.0
t10,0.0,0.0,0.0,13681.657335127122,0.0,8788.0,0.0,0.0,0.0,0.0,22469.65733512712
t11,0.0,0.0,0.0,14394.0,0.0,0.0,0.0,0.0,0.0,0.0,14394.0
t12,0.0,0.0,0.0,14334.0,0.0,0.0,0.0,0.0,0.0,0.0,14334.0
t13,0.0,0.0,0.0,16699.638331038026,0.0,0.0,0.0,0.0,0.0,0.0,16699.638331038026
t14,0.0,0.0,0.0,14062.0,0.0,0.0,0.0,0.0,0.0,0.0,14062.0
t15,0.0,0.0,0.0,21616.32895121457,0.0,14334.411180470794,0.0,0.0,0.0,0.0,35950.740131685365
t16,0.0,0.0,0.0,15149.054355388585,0.0,0.0,0.0,0.0,0.0,0.0,15149.054355388585
t17,0.0,0.0,0.0,5942.383233487025,0.0,8687.772009501565,0.0,0.0,0.0,0.0,14630.155242988589
t18,0.0,0.0,0.0,0.0,6359.787269249179,0.0,5241.170459928331,4016.212730750821,0.0,283.8295400716688,15900.999999999998
t19,0.0,0.0,0.0,0.0,6642.405891674773,0.0,5526.0,3745.5941083252274,0.0,0.0,15914.0
t20,0.0,0.0,0.0,0.0,5149.517839235832,0.0,5489.0,4896.482160764168,0.0,0.0,15535.0
t21,0.0,0.0,0.0,0.0,4386.932171434706,0.0,5430.0,593.0,4510.067828565294,0.0,14920.0
t22,0.0,0.0,0.0,0.0,7500.614299929263,0.0,5332.0,1067.3857000707367,0.0,0.0,13900.0
t23,0.0,0.0,0.0,0.0,7603.068817809531,0.0,5023.931182190469,0.0,0.0,0.0,12627.0
t24,0.0,0.0,0.0,0.0,6339.0,0.0,5096.0,0.0,0.0,0.0,11435.0
t25,0.0,0.0,0.0,0.0,7053.681828760011,0.0,5297.294320955065,0.0,0.0,0.0,12350.976149715076
t26,0.0,0.0,0.0,0.0,8342.372860520101,0.0,5338.953994648605,0.0,0.0,0.0,13681.326855168707
t27,0.0,0.0,0.0,0.0,8320.17708668291,0.0,5416.2923533276335,0.0,0.0,0.0,13736.469440010544
t28,0.0,0.0,0.0,0.0,7269.879302771016,0.0,5591.636831808088,0.0,0.0,0.0,12861.516134579104
t29,0.0,0.0,0.0,0.0,6255.948547596529,0.0,5150.048603441954,0.0,0.0,0.0,11405.997151038482
t30,0.0,0.0,0.0,0.0,7207.214929307844,0.0,4896.419988469302,0.0,0.0,213.58001153069836,12317.214929307844
t31,0.0,0.0,0.0,0.0,7845.125461699637,0.0,4880.324472408018,187.66753830036285,0.0,399.67552759198225,13312.793
t32,0.0,0.0,0.0,0.0,5977.0509595674885,0.0,5485.782875206979,3138.484040432511,0.0,0.0,14601.31787520698
t33,0.0,0.0,0.0,0.0,5666.445983919063,0.0,6341.57446867369,562.518,3221.563016080937,0.0,15792.101468673689
t34,0.0,0.0,0.0,114.93971438079352,3262.224760479158,314.48948450684395,6437.0989919340545,618.0652856192065,5360.147755013999,0.0,16106.965991934056
t35,0.0,0.0,0.0,3264.2878884145357,3902.616968323116,5700.121906686547,6666.288100404977,0.0,0.0,0.0,19533.314863829175
t36,0.0,0.0,0.0,5072.672728005687,2868.3116488936034,4908.984297224018,6673.324927145381,0.0,0.0,0.0,19523.293601268688
t37,0.0,0.0,0.0,3988.408089013535,2291.32439438027,5906.505630894163,6383.2159257374915,0.0,0.0,0.0,18569.45404002546
t38,0.0,0.0,0.0,4888.769184996418,1538.9883823196658,9434.684535205319,5960.744661798959,0.0,0.0,0.0,21823.186764320362
t39,0.0,0.0,0.0,4245.106784463974,1155.918107777552,6899.113066368889,5970.482825298413,0.0,0.0,0.0,18270.620783908827
t40,0.0,0.0,0.0,3160.842145471822,545.9933390942662,3424.9870422073473,6087.698180864804,2285.803473226566,0.0,0.0,15505.324180864805
t41,0.0,0.0,0.0,164.74692394580404,887.3151584294837,0.0,5686.244324631471,690.8890760541959,8084.441841570516,0.0,15513.637324631469
t42,0.0,0.0,0.0,0.0,7199.012337077951,0.0,4901.680208350223,3225.5836629220507,0.0,633.3197916497766,15959.596000000001
t43,0.0,0.0,0.0,0.0,8337.084317527833,0.0,4480.312948217941,1154.736,720.4146824721665,1031.687051782059,15724.235
t44,0.0,0.0,0.0,0.0,9498.656936791633,0.0,3376.1086571961946,782.855,0.0,2084.8913428038054,15742.511936791632
t45,0.0,0.0,0.0,0.0,9989.590847029312,0.0,3406.1372063064846,381.064,0.0,1999.8627936935154,15776.654847029313
t46,0.0,0.0,0.0,0.0,9991.768203197313,0.0,3986.5984279483937,0.0,0.0,1345.4015720516063,15323.768203197313
t47,0.0,0.0,0.0,0.0,9991.768203197313,0.0,4913.17677565872,0.0,0.0,318.82322434128037,15223.768203197313
t48,0.0,0.0,0.0,0.0,9991.768203197313,0.0,5703.299374335909,0.0,0.0,0.0,15695.067577533222
t49,0.0,0.0,0.0,0.0,4651.99916390865,0.0,4748.98972828146,1422.0111078098898,0.0,0.0,10823.0
t50,0.0,0.0,0.0,0.0,5364.0,0.0,4993.0,0.0,0.0,0.0,10357.0
t51,0.0,0.0,0.0,0.0,5560.256421401382,0.0,4549.743578598618,0.0,0.0,0.0,10110.0
t52,0.0,0.0,0.0,0.0,5957.4456222456865,0.0,4112.5543777543135,0.0,0.0,0.0,10070.0
t53,0.0,0.0,0.0,0.0,6099.981412347324,0.0,4037.755069630824,193.26351802185172,0.0,0.0,10331.0
t54,0.0,0.0,0.0,0.0,3472.887734131804,0.0,4168.9538374458725,3650.1584284223236,0.0,0.0,11292.0
t55,0.0,0.0,0.0,0.0,2854.2196087317006,0.0,4006.65671617906,0.0,5670.780391268299,536.3432838209401,13068.0
t56,0.0,0.0,0.0,0.0,3169.572652646749,0.0,4260.292609656029,6696.1347376972235,0.0,0.0,14126.0
t57,0.0,0.0,0.0,4333.227232155916,0.0,7415.07237688793,2676.7003909561545,0.0,0.0,0.0,14425.0
t58,0.0,0.0,0.0,11873.272495535972,0.0,8813.0,0.0,0.0,0.0,0.0,20686.272495535974
t59,0.0,0.0,0.0,17095.36685223669,0.0,0.0,0.0,0.0,0.0,0.0,17095.36685223669
t60,0.0,0.0,0.0,14412.0,0.0,0.0,0.0,0.0,0.0,0.0,14412.0
t61,0.0,0.0,0.0,14786.228741497556,0.0,0.0,0.0,0.0,0.0,0.0,14786.228741497556
t62,0.0,0.0,0.0,13995.0,0.0,0.0,0.0,0.0,0.0,0.0,13995.0
t63,0.0,0.0,0.0,22738.906828333653,0.0,15340.355576473485,0.0,0.0,0.0,0.0,38079.26240480714
t64,0.0,0.0,0.0,17647.0774812645,0.0,0.0,0.0,0.0,0.0,0.0,17647.0774812645
t65,0.0,0.0,0.0,10961.41742811501,0.0,8686.0,0.0,0.0,0.0,0.0,19647.41742811501
t66,0.0,0.0,0.0,1532.529525077247,4656.7627683405735,4122.760585956908,4507.947120625272,0.0,0.0,0.0,14820.0
t67,0.0,0.0,0.0,0.0,3690.8117157459446,0.0,4385.166404747946,1909.8335952520538,5274.188284254055,0.0,15260.0
