BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.280408565658952e7,1.2315208409762695e7,-1.455010445387842e7,0.0,0.0,16625.456000000002,0.0,3.129312893152622e7,0.0,-8.1878944e7,4.905334132017094e7,7.215221993583067e6,-8.52460065404427e6,0.0,0.0,4730.040000000001,0.0,-2.4364451699709754e7,0.0,-2.3384241e7,1.8240630669799276e7,835269.1841658262,-986849.2251486604,0.0,0.0,2223.603,0.0,-6.928677231816462e6,0.0,-1.1162597e7
t1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7707.0,-0.0,-7707.0,5908.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3707.0,-0.0,-2201.0,5050.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1050.0
t2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7341.0,-0.0,-7341.0,5438.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3341.0,-0.0,-2097.0,5000.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1000.0
t3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7162.0,-0.0,-7162.0,5207.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3162.0,-0.0,-2045.0,4976.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-976.0
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7116.0,-0.0,-7116.0,5148.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3116.0,-0.0,-2032.0,4970.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-970.0
t5,0.0,60.98042797760718,-0.0,0.0,0.0,0.0,0.0,7258.019572022393,-0.0,-7319.0,5348.019572022393,0.0,-0.0,0.0,0.0,0.0,0.0,-3258.019572022393,-0.0,-2090.0,4998.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-998.0
t6,0.0,2062.4270290826316,-0.0,0.0,0.0,0.0,0.0,5931.572970917368,-0.0,-7994.0,4214.572970917368,0.0,-0.0,0.0,0.0,0.0,0.0,-1931.5729709173684,-0.0,-2283.0,5090.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1090.0
t7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9337.0,-0.0,-9337.0,4436.59407708323,3566.4059229167697,-0.0,0.0,0.0,0.0,0.0,-5337.0,-0.0,-2666.0,5273.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1273.0
t8,0.0,3892.4750548421916,-0.0,0.0,0.0,0.0,0.0,6185.524945157808,-0.0,-10078.0,5063.524945157808,0.0,-0.0,0.0,0.0,0.0,0.0,-2185.5249451578084,-0.0,-2878.0,5374.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1374.0
t9,3861.9744031946625,0.0,-0.0,0.0,0.0,0.0,0.0,6291.025596805337,-0.0,-10153.0,7680.422879440579,0.0,-0.0,0.0,0.0,0.0,0.0,-4780.422879440579,-0.0,-2900.0,2894.602717364758,0.0,-0.0,0.0,0.0,0.0,0.0,-1510.602717364758,-0.0,-1384.0
t10,13681.657335127122,0.0,-8092.657335127122,0.0,0.0,0.0,0.0,4522.0,-0.0,-10111.0,8788.0,0.0,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2888.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1378.0,-0.0,-1378.0
t11,14394.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4271.0,-0.0,-10123.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2891.0,-0.0,-2891.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1380.0,-0.0,-1380.0
t12,14334.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4253.0,-0.0,-10081.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2879.0,-0.0,-2879.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1374.0,-0.0,-1374.0
t13,16699.638331038026,0.0,-2530.6383310380265,0.0,0.0,0.0,0.0,-4204.0,-0.0,-9965.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2846.0,-0.0,-2846.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1358.0,-0.0,-1358.0
t14,14062.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4173.0,-0.0,-9889.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2825.0,-0.0,-2825.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1348.0,-0.0,-1348.0
t15,21616.32895121457,0.0,-12163.255146390313,0.0,0.0,0.0,0.0,329.9261951757435,-0.0,-9783.0,14334.411180470794,0.0,-9542.147626987313,0.0,0.0,0.0,0.0,-1998.2635534834808,-0.0,-2794.0,0.0,0.0,-335.33735830773725,0.0,0.0,0.0,0.0,1668.3373583077373,-0.0,-1333.0
t16,15149.054355388585,0.0,-1227.0543553885855,0.0,0.0,0.0,0.0,-4131.0,-0.0,-9791.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2796.0,-0.0,-2796.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1335.0,-0.0,-1335.0
t17,5942.383233487025,0.0,-11.155242988589634,0.0,0.0,0.0,0.0,4349.772009501565,-0.0,-10281.0,8687.772009501565,0.0,-0.0,0.0,0.0,0.0,0.0,-5751.772009501565,-0.0,-2936.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1402.0,-0.0,-1402.0
t18,0.0,4016.212730750821,-0.0,0.0,0.0,0.0,0.0,7165.787269249179,-0.0,-11182.0,6359.787269249179,0.0,-0.0,0.0,0.0,0.0,0.0,-3165.787269249179,-0.0,-3194.0,5241.170459928331,283.8295400716688,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1525.0
t19,0.0,3745.5941083252274,-0.0,0.0,0.0,0.0,0.0,7446.405891674773,-0.0,-11192.0,6642.405891674773,0.0,-0.0,0.0,0.0,0.0,0.0,-3446.4058916747726,-0.0,-3196.0,5526.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1526.0
t20,0.0,4896.482160764168,-0.0,0.0,0.0,0.0,0.0,6029.517839235832,-0.0,-10926.0,5149.517839235832,0.0,-0.0,0.0,0.0,0.0,0.0,-2029.517839235832,-0.0,-3120.0,5489.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1489.0
t21,0.0,593.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10493.0,4386.932171434706,4510.067828565294,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2997.0,5430.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1430.0
t22,0.0,1067.3857000707367,-0.0,0.0,0.0,0.0,0.0,8708.614299929264,-0.0,-9776.0,7500.614299929263,0.0,-0.0,0.0,0.0,0.0,0.0,-4708.614299929263,-0.0,-2792.0,5332.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1332.0
t23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8880.0,-0.0,-8880.0,7603.068817809531,0.0,-0.0,0.0,0.0,0.0,0.0,-5067.068817809531,-0.0,-2536.0,5023.931182190469,0.0,-0.0,0.0,0.0,0.0,0.0,-3812.9311821904694,-0.0,-1211.0
t24,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8042.0,-0.0,-8042.0,6339.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4042.0,-0.0,-2297.0,5096.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1096.0
t25,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7822.0,-0.0,-7822.0,7053.681828760011,0.0,-997.6818287600108,0.0,0.0,0.0,0.0,-3822.0,-0.0,-2234.0,5297.294320955065,0.0,-231.2943209550649,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1066.0
t26,0.0,0.0,-2406.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-7494.0,8342.372860520101,0.0,-302.3728605201013,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2140.0,5338.953994648605,0.0,-317.95399464860475,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1021.0
t27,0.0,0.0,-2557.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-7343.0,8320.17708668291,0.0,-323.17708668291016,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2097.0,5416.2923533276335,0.0,-415.29235332763346,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1001.0
t28,0.0,0.0,-1898.879302771016,0.0,0.0,0.0,0.0,9187.879302771016,-0.0,-7289.0,7269.879302771016,0.0,-0.0,0.0,0.0,0.0,0.0,-5187.879302771016,-0.0,-2082.0,5591.636831808088,0.0,-597.6368318080877,0.0,0.0,0.0,0.0,-4000.0,-0.0,-994.0
t29,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7482.0,-0.0,-7482.0,6255.948547596529,0.0,-636.9485475965294,0.0,0.0,0.0,0.0,-3482.0,-0.0,-2137.0,5150.048603441954,0.0,-130.04860344195367,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1020.0
t30,0.0,0.0,-740.2149293078432,0.0,0.0,0.0,0.0,8882.214929307844,-0.0,-8142.0,7207.214929307844,0.0,-0.0,0.0,0.0,0.0,0.0,-4882.214929307844,-0.0,-2325.0,4896.419988469302,213.58001153069836,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1110.0
t31,0.0,187.66753830036285,-0.0,0.0,0.0,28.164,0.0,9172.168461699637,-0.0,-9388.0,7845.125461699637,0.0,-0.0,0.0,0.0,8.043000000000001,0.0,-5172.168461699637,-0.0,-2681.0,4880.324472408018,399.67552759198225,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1280.0
t32,0.0,3138.484040432511,-0.0,0.0,0.0,30.699,0.0,7063.816959567488,-0.0,-10233.0,5977.0509595674885,0.0,-0.0,0.0,0.0,8.766,0.0,-3063.8169595674885,-0.0,-2922.0,5485.782875206979,0.0,-90.78287520697904,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1395.0
t33,0.0,562.518,-0.0,0.0,0.0,31.482,0.0,9900.0,-0.0,-10494.0,5666.445983919063,3221.563016080937,-0.0,0.0,0.0,8.991,0.0,-5900.0,-0.0,-2997.0,6341.57446867369,0.0,-910.5744686736898,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1431.0
t34,114.93971438079352,618.0652856192065,-0.0,0.0,0.0,31.995,0.0,9900.0,-0.0,-10665.0,3576.7142449860016,5360.147755013999,-0.0,0.0,0.0,9.138,0.0,-5900.0,-0.0,-3046.0,6437.0989919340545,0.0,-983.0989919340545,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1454.0
t35,3264.2878884145357,0.0,-0.0,0.0,0.0,0.0,0.0,7515.712111585464,-0.0,-10780.0,9602.738875009663,0.0,-3008.0267634241986,0.0,0.0,0.0,0.0,-3515.7121115854643,-0.0,-3079.0,6666.288100404977,0.0,-1197.2881004049768,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1469.0
t36,5072.672728005687,0.0,-1774.3847004042495,0.0,0.0,0.0,0.0,7518.7119723985625,-0.0,-10817.0,7777.2959461176215,0.0,-1169.5839737190581,0.0,0.0,0.0,0.0,-3518.7119723985625,-0.0,-3089.0,6673.324927145381,0.0,-1199.3249271453806,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1474.0
t37,3988.408089013535,0.0,-2375.2381142879644,0.0,0.0,0.0,0.0,9129.830025274434,-0.0,-10743.0,8197.830025274434,0.0,-0.0,0.0,0.0,0.0,0.0,-5129.830025274433,-0.0,-3068.0,6383.2159257374915,0.0,-919.2159257374915,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1464.0
t38,4888.769184996418,0.0,-0.0,0.0,0.0,0.0,0.0,5768.230815003582,-0.0,-10657.0,10973.672917524984,0.0,-6161.4421025214015,0.0,0.0,0.0,0.0,-1768.2308150035824,-0.0,-3044.0,5960.744661798959,0.0,-507.744661798959,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1453.0
