Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6472.719656440026,3876.528177083445,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.9511465676,3876.528177083445,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.9511465676,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7445.244748316953,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7445.244748316953,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7445.244748316953,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.432012871937,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.432012871937,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20963.626747551025,8778.775816828329,308.5103696431183
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22092.516754508524,8778.775816828329,308.5103696431183
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22102.779578058027,8778.775816828329,308.5103696431183
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737.3309576767,8778.775816828329,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13666.033013844928,8778.775816828329,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8343.769795623008,8778.775816828329,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7699.204578231704,3876.528177083445,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.002730328729,3876.528177083445,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.2800000000001,8225.015484399055,738.3861996676976
