Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
