Time,Weight
1,30.0
2,30.0
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30.0
9,30.0
10,30.0
11,30.0
12,30.0
13,30.0
14,30.0
15,30.0
16,30.0
17,30.0
18,30.0
19,30.0
20,30.0
21,30.0
22,30.0
23,30.0
24,30.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,67.0
50,67.0
51,67.0
52,67.0
53,67.0
54,67.0
55,67.0
56,67.0
57,67.0
58,67.0
59,67.0
60,67.0
61,67.0
62,67.0
63,67.0
64,67.0
65,67.0
66,67.0
67,67.0
68,67.0
69,67.0
70,67.0
71,67.0
72,67.0
73,45.0
74,45.0
75,45.0
76,45.0
77,45.0
78,45.0
79,45.0
80,45.0
81,45.0
82,45.0
83,45.0
84,45.0
85,45.0
86,45.0
87,45.0
88,45.0
89,45.0
90,45.0
91,45.0
92,45.0
93,45.0
94,45.0
95,45.0
96,45.0
97,61.0
98,61.0
99,61.0
100,61.0
101,61.0
102,61.0
103,61.0
104,61.0
105,61.0
106,61.0
107,61.0
108,61.0
109,61.0
110,61.0
111,61.0
112,61.0
113,61.0
114,61.0
115,61.0
116,61.0
117,61.0
118,61.0
119,61.0
120,61.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,67.0
146,67.0
147,67.0
148,67.0
149,67.0
150,67.0
151,67.0
152,67.0
153,67.0
154,67.0
155,67.0
156,67.0
157,67.0
158,67.0
159,67.0
160,67.0
161,67.0
162,67.0
163,67.0
164,67.0
165,67.0
166,67.0
167,67.0
168,67.0
169,91.0
170,91.0
171,91.0
172,91.0
173,91.0
174,91.0
175,91.0
176,91.0
177,91.0
178,91.0
179,91.0
180,91.0
181,91.0
182,91.0
183,91.0
184,91.0
185,91.0
186,91.0
187,91.0
188,91.0
189,91.0
190,91.0
191,91.0
192,91.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
