Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3
1,7850,2242,1070,53.9946,316.9683,119.3214
2,7424,2120,1012,40.6626,238.9761,89.991
3,7107,2029,969,58.3275,342.9657,129.3204
4,6947,1984,947,133.32,784.9215,295.6371
5,6922,1977,944,274.6392,1616.505,608.9391
6,7045,2012,960,446.9553,2630.4036,990.5676
7,7307,2087,996,559.6107,3293.004,1240.2093
8,7544,2154,1029,641.2692,3773.9559,1421.1912
9,7946,2269,1083,674.5992,3968.9364,1494.5172
10,8340,2382,1137,714.2619,4202.913,1582.8417
11,8578,2449,1169,846.9153,4982.5017,1876.479
12,8666,2474,1181,901.9098,5307.4692,1998.8001
13,8707,2487,1187,928.5738,5463.4536,2057.4609
14,8630,2464,1176,910.9089,5359.464,2018.1315
15,8544,2440,1165,901.9098,5307.4692,1998.8001
16,8594,2454,1171,864.5802,5086.4913,1915.4751
17,9431,2693,1286,820.2513,4826.5173,1817.4849
18,10225,2920,1394,725.2608,4267.5732,1607.1726
19,10165,2903,1386,603.9396,3552.978,1337.8662
20,9854,2815,1343,460.2873,2708.3958,1019.898
21,9490,2710,1294,349.965,2058.4608,775.2558
22,8982,2565,1225,243.9756,1434.8565,540.2793
23,8353,2385,1139,150.9849,888.9111,334.6332
24,7648,2184,1042,89.3244,524.9475,197.6469
25,7051,2013,961,82.9917,488.9511,184.3149
26,6689,1910,912,59.994,353.298,132.9867
27,6515,1861,888,55.3278,325.9674,122.6544
28,6476,1849,883,81.9918,482.2851,181.6485
29,6618,1890,902,147.6519,869.5797,327.3006
30,6980,1993,951,242.3091,1426.524,537.2796
31,7523,2148,1025,365.9634,2153.4513,810.9189
32,7968,2275,1086,499.95,2941.3725,1107.5559
33,8513,2431,1161,631.6035,3715.6284,1399.1934
34,9072,2591,1236,700.5966,4123.2543,1552.8447
35,9482,2708,1292,722.5944,4252.2414,1601.5065
36,9650,2755,1316,753.9246,4435.5564,1670.4996
37,9635,2751,1313,802.2531,4720.8612,1777.8222
38,9572,2734,1305,838.2495,4931.5068,1857.1476
39,9542,2725,1301,877.2456,5162.4837,1944.1389
40,9687,2766,1321,899.2434,5291.4708,1992.8007
41,10596,3026,1444,855.5811,5033.4966,1895.4771
42,11515,3289,1570,774.5892,4557.8775,1716.495
43,11414,3260,1556,642.9357,3783.6216,1424.8575
44,11138,3181,1519,497.6169,2927.7072,1102.5564
45,10688,3052,1457,379.962,2234.7765,841.5825
46,9979,2850,1360,294.3039,1732.1601,652.2681
47,9100,2599,1241,206.646,1215.8784,457.9542
48,8304,2372,1132,131.6535,774.2559,291.6375
49,7776,2221,1060,56.3277,330.6336,124.6542
50,7513,2145,1024,41.3292,242.6424,91.3242
51,7386,2109,1007,57.9942,341.6325,128.6538
52,7401,2114,1009,134.9865,793.9206,298.9701
53,7667,2189,1045,290.3043,1708.8291,643.6023
54,8455,2414,1152,466.62,2745.3921,1033.8966
55,9848,2812,1343,577.2756,3395.6604,1278.8721
56,10629,3035,1449,661.6005,3891.9441,1465.5201
57,10761,3073,1467,696.9303,4101.5898,1544.5122
58,10835,3094,1477,666.9333,3924.9408,1478.1855
59,10932,3122,1490,663.267,3902.943,1469.853
60,10950,3127,1493,687.5979,4046.262,1523.8476
61,10905,3115,1487,730.9269,4299.9033,1619.1714
62,10890,3111,1484,758.9241,4465.2201,1681.4985
63,10849,3098,1479,820.5846,4829.1837,1818.4848
64,10999,3141,1499,871.2462,5126.8206,1930.8069
65,11858,3386,1616,846.9153,4983.5016,1876.8123
66,12796,3654,1745,796.2537,4685.8647,1764.4902
67,12821,3661,1748,655.9344,3858.9474,1453.188
68,12605,3600,1719,481.6185,2833.3833,1067.2266
69,12195,3483,1663,348.6318,2050.7949,772.2561
70,11476,3277,1565,262.3071,1543.5123,581.2752
71,10515,3003,1434,155.6511,915.2418,344.6322
72,9674,2763,1319,87.9912,518.2815,194.9805
73,9151,2614,1247,58.6608,345.2988,129.987
74,8876,2535,1210,42.9957,253.308,95.3238
75,8736,2495,1191,60.6606,356.9643,134.3199
76,8752,2499,1193,140.9859,828.9171,311.9688
77,8990,2568,1226,303.303,1784.4882,671.9328
78,9733,2780,1327,487.2846,2866.38,1079.5587
79,11084,3166,1511,602.6064,3545.6454,1335.1998
80,11820,3376,1611,690.5976,4063.5936,1530.1803
81,11834,3380,1614,727.9272,4282.2384,1612.8387
82,11803,3371,1609,696.597,4098.2568,1543.179
83,11777,3363,1605,692.5974,4075.2591,1534.5132
84,11661,3330,1590,717.9282,4224.9108,1591.1742
85,11494,3283,1567,762.9237,4489.551,1690.8309
86,11395,3255,1554,792.2541,4662.2004,1755.8244
87,11306,3229,1541,856.9143,5042.1624,1898.8101
88,11423,3262,1557,909.909,5353.1313,2015.7984
89,12221,3491,1666,884.2449,5203.4796,1959.4707
90,12871,3676,1755,831.5835,4892.5107,1842.4824
91,12772,3647,1741,684.5982,4029.2637,1517.1816
92,12474,3562,1701,502.9497,2958.3708,1114.2219
93,11997,3426,1635,363.9636,2141.1192,806.2527
94,11207,3201,1528,273.9726,1611.5055,606.9393
95,10201,2914,1391,162.3171,955.5711,359.964
96,9270,2648,1264,91.9908,540.9459,203.6463
97,8676,2478,1182,61.9938,364.9635,137.3196
98,8358,2387,1140,45.3288,267.6399,100.6566
99,8198,2341,1117,63.9936,376.9623,141.9858
100,8168,2333,1114,148.6518,875.5791,329.6337
101,8378,2393,1142,320.3013,1884.8115,709.929
102,9065,2589,1236,514.6152,3028.0305,1140.2193
103,10371,2962,1414,636.603,3745.2921,1410.5256
104,11136,3181,1518,729.5937,4292.5707,1616.505
105,11217,3204,1530,768.9231,4523.5476,1703.4963
106,11267,3218,1536,735.5931,4329.2337,1630.1703
107,11216,3203,1530,731.5935,4304.9028,1621.1712
108,11059,3159,1508,758.5908,4462.887,1680.4986
109,10923,3119,1489,805.9194,4742.5257,1785.8214
110,10869,3104,1482,836.9163,4924.8408,1854.8145
111,10783,3080,1470,905.2428,5326.134,2005.7994
112,10853,3100,1479,960.9039,5654.4345,2129.4537
113,11542,3296,1574,934.2399,5496.4503,2069.793
114,12297,3512,1676,878.2455,5168.1498,1946.1387
115,12252,3499,1671,723.261,4256.241,1602.8397
116,11974,3420,1632,531.2802,3125.3541,1176.8823
117,11527,3292,1571,384.2949,2261.7738,851.9148
