Time_Index,natgas_SE,natgas_MIDAT,natgas_NE,uranium_source
1,12.55668122,12.21546705,15.01342319,2.490863394
2,12.55668122,12.21546705,15.01342319,2.490863394
3,12.55668122,12.21546705,15.01342319,2.490863394
4,12.55668122,12.21546705,15.01342319,2.490863394
5,12.55668122,12.21546705,15.01342319,2.490863394
6,12.55668122,12.21546705,15.01342319,2.490863394
7,12.55668122,12.21546705,15.01342319,2.490863394
8,12.55668122,12.21546705,15.01342319,2.490863394
9,12.55668122,12.21546705,15.01342319,2.490863394
10,12.55668122,12.21546705,15.01342319,2.490863394
11,12.55668122,12.21546705,15.01342319,2.490863394
12,12.55668122,12.21546705,15.01342319,2.490863394
13,12.55668122,12.21546705,15.01342319,2.490863394
14,12.55668122,12.21546705,15.01342319,2.490863394
15,12.55668122,12.21546705,15.01342319,2.490863394
16,12.55668122,12.21546705,15.01342319,2.490863394
17,12.55668122,12.21546705,15.01342319,2.490863394
18,12.55668122,12.21546705,15.01342319,2.490863394
19,12.55668122,12.21546705,15.01342319,2.490863394
20,12.55668122,12.21546705,15.01342319,2.490863394
21,12.55668122,12.21546705,15.01342319,2.490863394
22,12.55668122,12.21546705,15.01342319,2.490863394
23,12.55668122,12.21546705,15.01342319,2.490863394
24,12.55668122,12.21546705,15.01342319,2.490863394
