Time_Index,E_z1,E_z2,E_z3,H2_z1,H2_z2,H2_z3
1,7850,2242,1070,48.929022,287.231481,108.127098
2,7424,2120,1012,36.847782,216.556227,81.54837
3,7107,2029,969,52.855425,310.789899,117.188028
4,6947,1984,947,120.8124,711.283005,267.901497
5,6922,1977,944,248.873544,1464.85035,551.810637
6,7045,2012,960,405.023571,2383.628652,897.636132
7,7307,2087,996,507.110049,2984.06628,1123.857351
8,7544,2154,1029,581.107644,3419.897013,1287.860184
9,7946,2269,1083,611.310744,3596.585148,1354.307004
10,8340,2382,1137,647.252433,3808.61091,1434.345219
11,8578,2449,1169,767.460771,4515.061419,1700.43453
12,8666,2474,1181,817.295886,4809.541644,1811.279907
13,8707,2487,1187,841.458366,4950.892152,1864.437363
14,8630,2464,1176,825.450723,4856.65848,1828.797705
15,8544,2440,1165,817.295886,4809.541644,1811.279907
16,8594,2454,1171,783.468414,4609.295091,1735.772157
17,9431,2693,1286,743.298291,4373.710911,1646.975043
18,10225,2920,1394,657.219456,3867.204924,1456.393482
19,10165,2903,1386,547.280172,3219.65046,1212.352434
20,9854,2815,1343,417.104811,2454.303906,924.21486
21,9490,2710,1294,317.13255,1865.343456,702.524106
22,8982,2565,1225,221.086692,1300.243455,489.592251
23,8353,2385,1139,136.820043,805.516677,303.239124
24,7648,2184,1042,80.944308,475.698825,179.104383
25,7051,2013,961,75.205719,443.079477,167.023143
26,6689,1910,912,54.36558,320.15286,120.510369
27,6515,1861,888,50.137146,295.386318,111.147408
28,6476,1849,883,74.299626,437.038857,164.606895
29,6618,1890,902,133.799733,787.998879,296.594442
30,6980,1993,951,219.576537,1292.69268,486.873972
31,7523,2148,1025,331.630038,1951.422291,734.841423
32,7968,2275,1086,453.0465,2665.423575,1003.649013
33,8513,2431,1161,572.348745,3367.041588,1267.926138
34,9072,2591,1236,634.869162,3736.425501,1407.162429
35,9482,2708,1292,654.803208,3853.311498,1451.258955
36,9650,2755,1316,683.194122,4019.428548,1513.779372
37,9635,2751,1313,726.988617,4277.967084,1611.033354
38,9572,2734,1305,759.607965,4468.850676,1682.916732
39,9542,2725,1301,794.945592,4678.158159,1761.746823
40,9687,2766,1321,814.879638,4795.044156,1805.843349
41,10596,3026,1444,775.313577,4561.272162,1717.650297
42,11515,3289,1570,701.920044,4130.273925,1555.45965
43,11414,3260,1556,582.617799,3428.655912,1291.182525
44,11138,3181,1519,450.932283,2653.040304,999.118548
45,10688,3052,1457,344.31534,2025.117855,762.628275
46,9979,2850,1360,266.693373,1569.655107,591.074667
47,9100,2599,1241,187.25922,1101.809088,414.990594
