Electricity_Demand_MW,H2_Demand_tonne,Solar_Capacity_Factor,NG_Price
7850,1.62,0,5.28
7424,1.22,0,5.28
7107,1.75,0,5.28
6947,4,0,5.28
6922,8.24,0,5.28
7045,13.41,0,5.28
7307,16.79,0,5.28
7544,19.24,0,5.28
7946,20.24,0.1779,5.28
8340,21.43,0.429,5.28
8578,25.41,0.5748,5.28
8666,27.06,0.6484,5.28
8707,27.86,0.6208,5.28
8630,27.33,0.596,5.28
8544,27.06,0.5013,5.28
8594,25.94,0.3311,5.28
9431,24.61,0.0642,5.28
10225,21.76,0,5.28
10165,18.12,0,5.28
9854,13.81,0,5.28
9490,10.5,0,5.28
8982,7.32,0,5.28
8353,4.53,0,5.28
7648,2.68,0,5.28
7051,2.49,0,5.28
6689,1.8,0,5.28
6515,1.66,0,5.28
6476,2.46,0,5.28
6618,4.43,0,5.28
6980,7.27,0,5.28
7523,10.98,0,5.28
7968,15,0,5.28
8513,18.95,0.16,5.28
9072,21.02,0.3418,5.28
9482,21.68,0.4952,5.28
9650,22.62,0.5654,5.28
9635,24.07,0.5713,5.28
9572,25.15,0.5414,5.28
9542,26.32,0.4677,5.28
9687,26.98,0.3193,5.28
10596,25.67,0.1003,5.28
11515,23.24,0,5.28
11414,19.29,0,5.28
11138,14.93,0,5.28
10688,11.4,0,5.28
9979,8.83,0,5.28
9100,6.2,0,5.28
8304,3.95,0,5.28
7776,1.69,0,5.28
7513,1.24,0,5.28
7386,1.74,0,5.28
7401,4.05,0,5.28
7667,8.71,0,5.28
8455,14,0,5.28
9848,17.32,0,5.28
10629,19.85,0,5.28
10761,20.91,0.2147,5.28
10835,20.01,0.436,5.28
10932,19.9,0.5787,5.28
10950,20.63,0.632,5.28
10905,21.93,0.6451,5.28
10890,22.77,0.6207,5.28
10849,24.62,0.5504,5.28
10999,26.14,0.3781,5.28
11858,25.41,0.1371,5.28
12796,23.89,0,5.28
12821,19.68,0,5.28
12605,14.45,0,5.28
12195,10.46,0,5.28
11476,7.87,0,5.28
10515,4.67,0,5.28
9674,2.64,0,5.28
9151,1.76,0,5.28
8876,1.29,0,5.28
8736,1.82,0,5.28
8752,4.23,0,5.28
8990,9.1,0,5.28
9733,14.62,0,5.28
11084,18.08,0,5.28
11820,20.72,0,5.28
11834,21.84,0.2277,5.28
11803,20.9,0.4502,5.28
11777,20.78,0.6046,5.28
11661,21.54,0.6791,5.28
11494,22.89,0.6728,5.28
11395,23.77,0.6482,5.28
11306,25.71,0.528,5.28
11423,27.3,0.3343,5.28
12221,26.53,0.028,5.28
12871,24.95,0,5.28
12772,20.54,0,5.28
12474,15.09,0,5.28
11997,10.92,0,5.28
11207,8.22,0,5.28
10201,4.87,0,5.28
9270,2.76,0,5.28
8676,1.86,0,5.28
8358,1.36,0,5.28
