Electricity_Demand_MW,H2_Demand_tonne,Solar_Capacity_Factor,NG_Demand_MMBtu
7850,1.62,0,1.62
7424,1.22,0,1.22
7107,1.75,0,1.75
6947,4,0,4
6922,8.24,0,8.24
7045,13.41,0,13.41
7307,16.79,0,16.79
7544,19.24,0,19.24
7946,20.24,0.1779,20.24
8340,21.43,0.429,21.43
8578,25.41,0.5748,25.41
8666,27.06,0.6484,27.06
8707,27.86,0.6208,27.86
8630,27.33,0.596,27.33
8544,27.06,0.5013,27.06
8594,25.94,0.3311,25.94
9431,24.61,0.0642,24.61
10225,21.76,0,21.76
10165,18.12,0,18.12
9854,13.81,0,13.81
9490,10.5,0,10.5
8982,7.32,0,7.32
8353,4.53,0,4.53
7648,2.68,0,2.68
7051,2.49,0,2.49
6689,1.8,0,1.8
6515,1.66,0,1.66
6476,2.46,0,2.46
6618,4.43,0,4.43
6980,7.27,0,7.27
7523,10.98,0,10.98
7968,15,0,15
8513,18.95,0.16,18.95
9072,21.02,0.3418,21.02
9482,21.68,0.4952,21.68
9650,22.62,0.5654,22.62
9635,24.07,0.5713,24.07
9572,25.15,0.5414,25.15
9542,26.32,0.4677,26.32
9687,26.98,0.3193,26.98
10596,25.67,0.1003,25.67
11515,23.24,0,23.24
11414,19.29,0,19.29
11138,14.93,0,14.93
10688,11.4,0,11.4
9979,8.83,0,8.83
9100,6.2,0,6.2
8304,3.95,0,3.95
7776,1.69,0,1.69
7513,1.24,0,1.24
7386,1.74,0,1.74
7401,4.05,0,4.05
7667,8.71,0,8.71
8455,14,0,14
9848,17.32,0,17.32
10629,19.85,0,19.85
10761,20.91,0.2147,20.91
10835,20.01,0.436,20.01
10932,19.9,0.5787,19.9
10950,20.63,0.632,20.63
10905,21.93,0.6451,21.93
10890,22.77,0.6207,22.77
10849,24.62,0.5504,24.62
10999,26.14,0.3781,26.14
11858,25.41,0.1371,25.41
12796,23.89,0,23.89
12821,19.68,0,19.68
12605,14.45,0,14.45
12195,10.46,0,10.46
11476,7.87,0,7.87
10515,4.67,0,4.67
9674,2.64,0,2.64
9151,1.76,0,1.76
8876,1.29,0,1.29
8736,1.82,0,1.82
8752,4.23,0,4.23
8990,9.1,0,9.1
9733,14.62,0,14.62
11084,18.08,0,18.08
11820,20.72,0,20.72
11834,21.84,0.2277,21.84
11803,20.9,0.4502,20.9
11777,20.78,0.6046,20.78
11661,21.54,0.6791,21.54
11494,22.89,0.6728,22.89
11395,23.77,0.6482,23.77
11306,25.71,0.528,25.71
11423,27.3,0.3343,27.3
12221,26.53,0.028,26.53
12871,24.95,0,24.95
12772,20.54,0,20.54
12474,15.09,0,15.09
11997,10.92,0,10.92
11207,8.22,0,8.22
10201,4.87,0,4.87
9270,2.76,0,2.76
8676,1.86,0,1.86
8358,1.36,0,1.36
8198,1.92,0,1.92
8168,4.46,0,4.46
8378,9.61,0,9.61
9065,15.44,0,15.44
10371,19.1,0,19.1
11136,21.89,0,21.89
11217,23.07,0.1033,23.07
11267,22.07,0.2804,22.07
11216,21.95,0.4372,21.95
11059,22.76,0.5913,22.76
10923,24.18,0.5349,24.18
10869,25.11,0.4854,25.11
10783,27.16,0.3973,27.16
10853,28.83,0.2948,28.83
11542,28.03,0.0897,28.03
12297,26.35,0,26.35
12252,21.7,0,21.7
11974,15.94,0,15.94
11527,11.53,0,11.53
10788,8.68,0,8.68
9795,5.15,0,5.15
8937,2.91,0,2.91
8376,2.86,0,2.86
8071,2.02,0,2.02
7915,1.96,0,1.96
7876,2.74,0,2.74
8068,5.09,0,5.09
8750,8.36,0,8.36
10032,12.69,0,12.69
10800,17.24,0,17.24
10890,21.85,0.1023,21.85
10901,24.2,0.2939,24.2
10853,24.98,0.5036,24.98
10692,26.13,0.62,26.13
10515,27.76,0.5947,27.76
10423,28.98,0.4261,28.98
10278,30.4,0.3649,30.4
10327,31.19,0.1992,31.19
10930,29.64,0.0151,29.64
11507,26.81,0,26.81
11322,22.28,0,22.28
10996,17.32,0,17.32
10561,13.22,0,13.22
9994,10.32,0,10.32
9224,7.2,0,7.2
8432,4.66,0,4.66
7819,2.88,0,2.88
7480,3.71,0,3.71
7296,1.36,0,1.36
7221,2.12,0,2.12
7293,3.96,0,3.96
7571,6.5,0,6.5
8073,9.93,0,9.93
8602,14.06,0,14.06
9143,18.37,0.1883,18.37
9471,23.64,0.4067,23.64
9563,27.01,0.5478,27.01
9486,27.7,0.6386,27.7
9312,27.58,0.6504,27.58
9115,26.75,0.6311,26.75
8976,26.18,0.5093,26.18
9072,25.04,0.299,25.04
9736,23.83,0.0553,23.83
10403,21.36,0,21.36
10280,18.37,0,18.37
9950,14.69,0,14.69
9638,11.71,0,11.71
9187,9.1,0,9.1
8597,6.56,0,6.56
7948,4.47,0,4.47
7404,1.62,0,1.62
7089,1.22,0,1.22
6902,1.75,0,1.75
6852,4,0,4
6904,8.24,0,8.24
7105,13.41,0,13.41
7494,16.79,0,16.79
7901,19.24,0,19.24
8468,20.24,0.2056,20.24
8906,21.43,0.4097,21.43
9183,25.41,0.5584,25.41
9356,27.06,0.4656,27.06
9386,27.86,0.5802,27.86
9334,27.33,0.5964,27.33
9301,27.06,0.5111,27.06
9431,25.94,0.3605,25.94
10240,24.61,0.1202,24.61
11081,21.76,0,21.76
11064,18.12,0,18.12
10779,13.81,0,13.81
10405,10.5,0,10.5
9791,7.32,0,7.32
8983,4.53,0,4.53
8276,2.68,0,2.68
7813,2.49,0,2.49
7590,1.8,0,1.8
7507,1.66,0,1.66
7536,2.46,0,2.46
7808,4.43,0,4.43
8592,7.27,0,7.27
10003,10.98,0,10.98
10818,15,0,15
10898,18.95,0.1584,18.95
10909,21.02,0.3603,21.02
10903,21.68,0.4586,21.68
10810,22.62,0.4847,22.62
10627,24.07,0.5907,24.07
10513,25.15,0.7654,25.15
10366,26.32,0.5757,26.32
10401,26.98,0.4019,26.98
11101,25.67,0.1541,25.67
12044,23.24,0,23.24
12015,19.29,0,19.29
11693,14.93,0,14.93
11225,11.4,0,11.4
10453,8.83,0,8.83
9470,6.2,0,6.2
8600,3.95,0,3.95
8029,1.69,0,1.69
7745,1.24,0,1.24
7589,1.74,0,1.74
7578,4.05,0,4.05
7797,8.71,0,8.71
8521,14,0,14
9893,17.32,0,17.32
10626,19.85,0,19.85
10665,20.91,0.1709,20.91
10719,20.01,0.3428,20.01
10723,19.9,0.4545,19.9
10619,20.63,0.5223,20.63
10444,21.93,0.5971,21.93
10355,22.77,0.6098,22.77
10262,24.62,0.5176,24.62
10332,26.14,0.3503,26.14
11008,25.41,0.1105,25.41
11778,23.89,0,23.89
11691,19.68,0,19.68
11401,14.45,0,14.45
10973,10.46,0,10.46
10250,7.87,0,7.87
9297,4.67,0,4.67
8468,2.64,0,2.64
7942,1.76,0,1.76
7679,1.29,0,1.29
7558,1.82,0,1.82
7592,4.23,0,4.23
7830,9.1,0,9.1
8613,14.62,0,14.62
9991,18.08,0,18.08
10722,20.72,0,20.72
10723,21.84,0.1904,21.84
10659,20.9,0.3998,20.9
10621,20.78,0.5013,20.78
10536,21.54,0.5482,21.54
10388,22.89,0.5471,22.89
10328,23.77,0.5638,23.77
10230,25.71,0.4942,25.71
10299,27.3,0.358,27.3
10965,26.53,0.1237,26.53
11781,24.95,0,24.95
11737,20.54,0,20.54
11448,15.09,0,15.09
11009,10.92,0,10.92
10255,8.22,0,8.22
9275,4.87,0,4.87
8412,2.76,0,2.76
7842,1.86,0,1.86
7529,1.36,0,1.36
7381,1.92,0,1.92
7378,4.46,0,4.46
7607,9.61,0,9.61
8322,15.44,0,15.44
9608,19.1,0,19.1
10497,21.89,0,21.89
10744,23.07,0,23.07
10919,22.07,0.0026,22.07
11073,21.95,0.0598,21.95
11112,22.76,0.1045,22.76
11068,24.18,0.0515,24.18
11019,25.11,0.0671,25.11
10873,27.16,0.1956,27.16
10847,28.83,0.1553,28.83
11364,28.03,0.0357,28.03
11951,26.35,0,26.35
11830,21.7,0,21.7
11479,15.94,0,15.94
10997,11.53,0,11.53
10224,8.68,0,8.68
9251,5.15,0,5.15
8405,2.91,0,2.91
7811,2.86,0,2.86
7513,2.02,0,2.02
7371,1.96,0,1.96
7344,2.74,0,2.74
7542,5.09,0,5.09
8217,8.36,0,8.36
9501,12.69,0,12.69
10340,17.24,0,17.24
10503,21.85,0.0041,21.85
10548,24.2,0.0805,24.2
10562,24.98,0.2869,24.98
10516,26.13,0.4127,26.13
10420,27.76,0.5241,27.76
10378,28.98,0.5732,28.98
10339,30.4,0.4743,30.4
10489,31.19,0.305,31.19
11141,29.64,0.0978,29.64
11795,26.81,0,26.81
11688,22.28,0,22.28
11389,17.32,0,17.32
11010,13.22,0,13.22
10445,10.32,0,10.32
9687,7.2,0,7.2
8931,4.66,0,4.66
8341,2.88,0,2.88
7996,3.71,0,3.71
7802,1.36,0,1.36
7742,2.12,0,2.12
7823,3.96,0,3.96
8097,6.5,0,6.5
8611,9.93,0,9.93
9128,14.06,0,14.06
9713,18.37,0.1892,18.37
10173,23.64,0.3808,23.64
10367,27.01,0.5055,27.01
10302,27.7,0.6058,27.7
10138,27.58,0.6621,27.58
9948,26.75,0.6563,26.75
9858,26.18,0.5704,26.18
9938,25.04,0.4009,25.04
10586,23.83,0.1757,23.83
11470,21.36,0,21.36
11467,18.37,0,18.37
11210,14.69,0,14.69
10857,11.71,0,11.71
10427,9.1,0,9.1
9916,6.56,0,6.56
9321,4.47,0,4.47
8761,1.62,0,1.62
8426,1.22,0,1.22
8290,1.75,0,1.75
8274,4,0,4
8367,8.24,0,8.24
8600,13.41,0,13.41
9002,16.79,0,16.79
9436,19.24,0,19.24
10049,20.24,0.2406,20.24
10510,21.43,0.4691,21.43
10762,25.41,0.6312,25.41
10846,27.06,0.7083,27.06
10837,27.86,0.7193,27.86
10727,27.33,0.7062,27.33
10661,27.06,0.6127,27.06
10747,25.94,0.4407,25.94
11443,24.61,0.1983,24.61
12353,21.76,0,21.76
12368,18.12,0,18.12
12024,13.81,0,13.81
11680,10.5,0,10.5
11098,7.32,0,7.32
10403,4.53,0,4.53
9707,2.68,0,2.68
9218,2.49,0,2.49
8963,1.8,0,1.8
8860,1.66,0,1.66
8864,2.46,0,2.46
9069,4.43,0,4.43
9604,7.27,0,7.27
10488,10.98,0,10.98
11139,15,0,15
11587,18.95,0.2391,18.95
11837,21.02,0.4586,21.02
11933,21.68,0.6179,21.68
11838,22.62,0.6974,22.62
11648,24.07,0.6672,24.07
11515,25.15,0.6136,25.15
11370,26.32,0.4943,26.32
11392,26.98,0.2741,26.98
11972,25.67,0.0666,25.67
12745,23.24,0,23.24
12604,19.29,0,19.29
12223,14.93,0,14.93
11668,11.4,0,11.4
10868,8.83,0,8.83
9911,6.2,0,6.2
9028,3.95,0,3.95
8422,1.69,0,1.69
8080,1.24,0,1.24
7926,1.74,0,1.74
7885,4.05,0,4.05
8084,8.71,0,8.71
8771,14,0,14
10017,17.32,0,17.32
10748,19.85,0,19.85
10856,20.91,0.063,20.91
10861,20.01,0.2298,20.01
10853,19.9,0.3955,19.9
10811,20.63,0.4576,20.63
10754,21.93,0.4251,21.93
10741,22.77,0.397,22.77
10705,24.62,0.2726,24.62
10808,26.14,0.148,26.14
11408,25.41,0.0133,25.41
11990,23.89,0,23.89
11823,19.68,0,19.68
11467,14.45,0,14.45
10936,10.46,0,10.46
10145,7.87,0,7.87
9158,4.67,0,4.67
8270,2.64,0,2.64
7673,1.76,0,1.76
7368,1.29,0,1.29
7210,1.82,0,1.82
7192,4.23,0,4.23
7428,9.1,0,9.1
8195,14.62,0,14.62
9601,18.08,0,18.08
10337,20.72,0,20.72
10414,21.84,0.2194,21.84
10477,20.9,0.4257,20.9
10558,20.78,0.5872,20.78
10563,21.54,0.6481,21.54
10514,22.89,0.6592,22.89
10502,23.77,0.6547,23.77
10452,25.71,0.5823,25.71
10540,27.3,0.4386,27.3
11167,26.53,0.2089,26.53
12222,24.95,0,24.95
12311,20.54,0,20.54
12097,15.09,0,15.09
11681,10.92,0,10.92
10975,8.22,0,8.22
10076,4.87,0,4.87
9249,2.76,0,2.76
8734,1.86,0,1.86
8488,1.36,0,1.36
8386,1.92,0,1.92
8405,4.46,0,4.46
8672,9.61,0,9.61
9446,15.44,0,15.44
10860,19.1,0,19.1
11601,21.89,0,21.89
11633,23.07,0.2198,23.07
11574,22.07,0.4112,22.07
11511,21.95,0.5551,21.95
11368,22.76,0.6202,22.76
11190,24.18,0.6322,24.18
11078,25.11,0.6454,25.11
10946,27.16,0.582,27.16
11021,28.83,0.4182,28.83
11577,28.03,0.1694,28.03
12352,26.35,0,26.35
12330,21.7,0,21.7
12117,15.94,0,15.94
11631,11.53,0,11.53
10865,8.68,0,8.68
9900,5.15,0,5.15
9025,2.91,0,2.91
8434,2.86,0,2.86
8100,2.02,0,2.02
7947,1.96,0,1.96
7913,2.74,0,2.74
8152,5.09,0,5.09
8866,8.36,0,8.36
10188,12.69,0,12.69
10891,17.24,0,17.24
10970,21.85,0.2238,21.85
11002,24.2,0.4608,24.2
11033,24.98,0.6129,24.98
10988,26.13,0.681,26.13
10865,27.76,0.7075,27.76
10786,28.98,0.6971,28.98
10656,30.4,0.6128,30.4
10674,31.19,0.4488,31.19
11148,29.64,0.217,29.64
12025,26.81,0,26.81
11980,22.28,0,22.28
11686,17.32,0,17.32
11305,13.22,0,13.22
10761,10.32,0,10.32
10019,7.2,0,7.2
9243,4.66,0,4.66
8690,2.88,0,2.88
8380,3.71,0,3.71
8190,1.36,0,1.36
8116,2.12,0,2.12
8185,3.96,0,3.96
8450,6.5,0,6.5
8973,9.93,0,9.93
9596,14.06,0,14.06
10290,18.37,0.0338,18.37
10895,23.64,0.1381,23.64
11267,27.01,0.2102,27.01
11426,27.7,0.2284,27.7
11425,27.58,0.2429,27.58
11280,26.75,0.2345,26.75
11096,26.18,0.196,26.18
11018,25.04,0.1088,25.04
11439,23.83,0.0095,23.83
12161,21.36,0,21.36
12036,18.37,0,18.37
